Παλαιοκώμης,4,4  704,185,0  0  0,,0,2  1  1
Πεθελινού,2,3  771,227,1  0  455,,100,1  0  1
Πρώτης,1,1  245,63,2  2  420,,194,2  1  1
Ροδολίβους,1,1  11,3,0  0  0,,0,0  0  0
Συμβολής,0,0  0,0,3  3  1.246,,374,3  1  2
Τούμπας,2,4  1.891,511,2  0  202,,58,4  2  2
ΝΟΜΟΣ ΧΑΛΚΙ?ΙΚΗΣ,1.003,2.032  1.323.741,383.145,320  289  153.072,,45.578,3.592  1.950  1.642
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ιερισσού,4,6  2.355,783,3  3  1.555,546,6  0  6
Γοματίου,28,48  20.557,7.095,18  24  7.564,2.435,95  56  39
Μαραθούσσης,1,2  735,245,0  0  0,0,1  0  1
Μεγάλης Παναγίας,35,62  29.002,8.817,18  18  5.660,2.487,66  20  46
Νεοχωρίου,5,7  5.081,1.294,0  0  0,0,5  0  5
Νέων Ρόδων,2,3  29.192,7.316,2  1  12.978,4.327,1  0  1
Ολυμπιάδος,3,5  1.470,490,0  0  0,0,5  0  5
Ουρανοπόλεως,2,3  1.200,407,1  2  230,77,3  0  3
Παλαιοχωρίου,6,11  5.065,1.521,8  11  2.282,743,9  1  8
Πυργαδικίων,2,4  760,240,1  0  72,24,2  0  2
Σταγίρων,2,3  1.695,605,0  0  0,0,5  4  1
Στανού,2,4  1.857,559,1  1  168,56,3  1  2
Στρατονίκης,2,3  1.100,351,7  7  1.784,569,8  3  5
Στρατωνίου,4,8  2.538,794,4  2  2.097,692,10  2  8
Κασσανδρείας,96,213  112.202,36.411,17  14  5.545,1.831,386  235  151
Νέων Μουδανιών,118,288  199.090,61.609,29  23  18.696,5.238,492  208  284
Πολυγύρου,82,159  148.554,46.255,26  24  7.633,2.583,293  113  180
Αγίας Παρασκευής,8,18  5.679,1.750,4  4  1.231,382,28  13  15
Αγίου Μάμαντος,17,30  14.253,4.216,4  2  1.549,443,16  4  12
Αγίου Νικολάου,24,43  17.944,5.853,13  14  8.025,2.264,85  43  42
Αγίου Παντελεήμονος,2,3  829,269,0  0  0,0,4  2  2
Αγίου Προδρόμου,2,3  1.458,448,1  2  447,140,3  0  3
Αφύτου,25,56  32.825,11.001,6  7  3.711,972,145  93  52
Βάβδου,4,7  3.336,557,1  1  440,156,5  1  4
Βραστάμων,4,6  1.601,682,1  0  64,21,3  0  3
Γαλατίστης,21,34  25.153,7.484,6  5  6.542,1.165,27  2  25
?ιονυσίου,11,24  13.460,4.337,3  2  905,310,54  26  28
?ουμπιών,3,3  1.620,480,1  1  276,92,4  0  4
Ελαιοχωρίων,0,0  0,0,1  1  300,96,1  1  0
Ζωγράφου,2,2  355,95,0  0  0,0,1  0  1
Καλάνδρας,20,41  18.183,5.594,2  3  442,135,62  32  30
Καλλιθέας,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",20,51  53.923,13.090,3  0  4.282,1.283,160  115  45
Κασσανδρηνού,3,9  3.411,1.130,1  1  257,86,11  6  5
Κρήνης,1,2  410,135,1  0  492,137,3  2  1
Κρυοπηγής,31,61  54.975,15.494,2  0  614,193,170  157  13
Λακκώματος,16,28  75.747,15.129,4  3  4.077,973,6  0  6
Μεταγκιτσίου,14,20  9.988,3.178,7  10  3.830,1.204,36  17  19
Μεταμορφώσεως,2,2  383,127,1  0  300,100,3  2  1
Νέας Γωνιάς,8,15  4.824,1.396,1  1  335,96,9  4  5
Νέας Καλλικρατείας,12,22  8.949,2.914,9  9  6.366,1.654,28  3  25
Νέας Ποτειδαίας,19,41  16.113,4.763,6  6  1.996,618,70  50  20
Νέας Σκιώνης,10,24  5.729,2.411,2  5  1.245,391,37  18  19
Νέας Τενέδου,3,3  75.916,8.200,0  0  0,0,1  0  1
Νέας Τριγλίας,15,27  11.378,3.545,15  16  7.543,2.124,29  6  23
Νέας Φωκαίας,16,31  17.354,5.419,4  3  750,249,99  72  27
Νέου Μαρμαρά,11,15  10.377,3.292,5  5  1.764,563,18  7  11
Νέων Πλαγίων,13,26  10.501,2.836,2  1  1.103,330,36  22  14
Νέων Σιλάτων,7,14  3.930,1.212,2  0  308,86,10  1  9
Νικήτης (Νικήτα),59,109  61.536,18.807,13  13  4.628,1.534,172  65  107
Ολύνθου,5,5  1.854,568,3  2  2.666,583,4  1  3
Ορμυλίας,17,27  12.239,3.687,13  6  2.741,846,55  37  18
Παλαιοκάστρου,6,12  2.959,951,2  0  129,34,7  0  7
Παλαιοχώρας,2,6  1.268,442,4  1  782,246,6  4  2
Παλιουρίου,12,27  10.582,3.573,1  1  399,133,44  36  8
Πετραλώνων,2,3  1.918,593,1  0  228,76,16  14  2
Πευκοχωρίου,28,67  38.176,11.763,2  1  217,68,181  64  117
Πολυχρόνου,15,36  20.429,6.061,1  0  120,40,113  89  24
Πορταριάς,14,23  5.823,1.776,3  0  386,118,9  3  6
Ριζών,0,0  0,0,1  0  285,95,1  0  1
Σανών,1,2  556,139,0  0  0,0,2  2  0
Σάρτης,2,4  1.867,525,1  2  239,72,18  17  1
Σημάντρων,3,5  2.225,561,7  6  2.090,674,8  2  6
Συκέας,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",24,48  17.828,6.077,12  8  6.062,1.045,76  49  27
Ταξιάρχου,2,6  1.140,371,4  4  956,309,10  6  4
Φλογητών,13,30  12.721,3.978,3  5  1.298,373,53  13  40
Φούρκας,14,29  9.389,3.185,3  3  830,274,40  32  8
Χανιώτη,46,103  58.174,18.259,3  5  3.558,1.187,223  174  49
?ΥΤΙΚΗ ΜΑΚΕ?ΟΝΙΑ,1.398,2.597  1.743.319,519.406,413  306  208.358,67.788,3.512  1.029  2.483
ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,214,375  329.073,77.497,66  45  20.949,7.485,573  127  446
Γρεβενών,51,119  236.159,48.928,19  12  8.251,3.187,267  59  208
?εσκάτης,20,30  14.802,4.600,10  10  2.771,1.025,28  5  23
Αβδέλλας,17,29  7.668,2.559,1  0  152,59,42  28  14
Αγίου Γεωργίου,0,0  0,0,2  1  399,139,2  1  1
Αγίου Κοσμά,4,8  1.904,568,1  1  300,110,8  0  8
Αγίων Θεοδώρων,0,0  0,0,2  0  154,176,0  0  0
Αηδονίων,1,1  156,52,0  0  0,0,1  0  1
Αλατοπέτρας,1,2  894,267,1  0  450,150,2  1  1
Αμυγδαλεών,2,4  706,243,2  2  273,93,5  4  1
Αναβρυτών,1,1  188,57,0  0  0,0,1  1  0
Βατολάκκου,1,1  246,88,0  0  0,0,1  1  0
?ασυλλίου,1,1  198,63,0  0  0,0,1  0  1
?οτσικού,1,1  3.150,700,0  0  0,0,0  0  0
Ελάτου,1,1  17,24,1  0  100,25,0  0  0
Ζάκα,13,25  5.339,1.684,3  7  1.856,622,19  1  18
Καλλιθέας,2,2  556,185,0  0  0,0,3  2  1
Καρπερού,3,3  2.860,593,1  0  719,119,2  0  2
Κέντρου,1,1  300,72,0  0  0,0,0  0  0
Κηπουρείου,2,3  1.217,343,0  0  0,0,1  0  1
Κιβωτού,3,3  2.247,587,0  0  0,0,2  0  2
Κληματακίου,1,2  590,196,0  0  0,0,2  0  2
Κνίδης,3,3  2.712,637,0  0  0,0,1  0  1
Κοκκινιάς,2,3  693,224,1  1  246,82,3  0  3
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Κοσματίου,1,2  328,105,0  0  0,,0,1  0  1
Κρανέας,5,8  3.158,936,0  0  0,,0,5  0  5
Κυδωνιών,0,0  0,0,1  0  250,,82,2  2  0
Κυπαρισσίου,2,3  1.031,273,0  0  0,,0,2  0  2
Κυρακαλής,2,2  312,103,0  0  0,,0,1  0  1
Λάβδα,1,2  635,232,1  2  354,,125,3  2  1
Μαυραναίων,4,5  1.614,537,0  0  0,,0,5  2  3
Μεγάλου Σειρηνίου,1,2  470,153,1  0  138,,55,1  0  1
Μεγάρου,2,5  1.143,396,0  0  0,,0,3  0  3
Μεσολουρίου,2,4  894,291,2  2  521,,185,6  2  4
Μοναχιτίου,1,1  297,99,0  0  0,,0,1  0  1
Μυρσίνης,2,3  716,192,2  1  102,,48,2  1  1
Οροπεδίου,0,0  0,0,1  0  1.145,,281,0  0  0
Παλαιοχωρίου,1,1  350,72,0  0  0,,0,1  0  1
Παλιουριάς,1,1  424,103,1  0  284,,94,1  1  0
Παναγίας,1,1  165,53,0  0  0,,0,1  0  1
Πανοράματος,1,2  510,175,0  0  0,,0,2  1  1
Περιβολίου,7,12  2.439,785,0  0  0,,0,10  2  8
Πηγαδίτσης,1,1  675,150,0  0  0,,0,0  0  0
Πολυδένδρου,1,2  1.142,342,0  0  0,,0,2  0  2
Πολυνερίου,2,4  706,233,0  0  0,,0,2  0  2
Ποντινής,2,3  2.218,686,0  0  0,,0,10  0  10
Προσβόρρου,1,2  576,192,0  0  0,,0,1  0  1
Ροδιάς,2,3  666,195,3  0  190,,70,2  0  2
Σαμαρίνης,20,36  9.123,2.710,0  0  0,,0,23  0  23
Σαρακήνας,2,3  771,214,0  0  0,,0,3  0  3
Σμίξης,3,3  1.097,345,5  4  723,,253,8  6  2
Σπηλαίου,2,4  987,341,0  0  0,,0,2  0  2
Συνδένδρου,3,5  1.343,466,0  0  0,,0,3  0  3
Ταξιάρχου,2,2  682,196,1  0  330,,96,2  0  2
Τρικοκκιάς,3,3  9.830,3.551,1  0  150,,50,68  1  67
Φελλίου,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,2  270,65,0  0  0,,0,1  1  0
Φιλιππαίων,4,5  1.899,636,3  2  1.091,,359,8  3  5
ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,174,311  185.223,55.558,38  33  15.177,,5.104,310  100  210
¶ργους Ορεστικού,2,2  825,267,0  0  0,,0,2  0  2
Βιτσίου,1,2  849,275,0  0  0,,0,1  0  1
Καστορίας,57,108  89.010,27.148,10  14  7.084,,2.359,138  60  78
Αμπελοκήπων,7,10  3.700,1.230,0  0  0,,0,7  2  5
Βασιλειάδος,3,5  1.360,427,0  0  0,,0,5  0  5
Βογατσικού,1,1  135,45,0  0  0,,0,0  0  0
Γέρμα,5,5  1.549,513,0  0  0,,0,3  1  2
?ενδροχωρίου,1,2  365,118,0  0  0,,0,1  0  1
?ισπηλίου,23,44  21.670,6.555,7  6  1.643,,534,31  3  28
Ιεροπηγής,1,1  454,151,0  0  0,,0,1  0  1
Κλεισούρας,4,6  1.311,489,0  0  0,,0,4  0  4
Κορησού,14,25  11.437,3.110,6  1  781,,257,23  11  12
Κορομηλέας,1,1  220,78,1  0  30,,9,1  1  0
Κοτύλης,1,1  290,82,0  0  0,,0,2  2  0
Κωσταραζίου,1,2  708,236,3  4  831,,253,4  0  4
Λεύκης,1,2  450,150,0  0  0,,0,2  2  0
Λιθιάς,3,6  1.700,522,0  0  0,,0,4  0  4
Μακροχωρίου,4,6  1.284,454,0  0  0,,0,2  1  1
Μανιάκων,9,19  11.616,3.590,2  2  681,,232,20  0  20
Μαυροχωρίου,5,8  4.176,1.260,3  1  1.432,,538,8  2  6
Μελισσοτόπου,2,4  987,325,1  0  691,,216,5  2  3
Μεσοποταμιάς,7,11  6.219,1.843,1  1  436,,121,6  1  5
Νεστορίου,6,14  12.068,2.834,1  2  744,,248,20  9  11
Πενταβρύσου,1,1  1.129,250,0  0  0,,0,0  0  0
Πολυκάρπης,14,25  11.711,3.606,3  2  824,,337,20  3  17
ΝΟΜΟΣ ΚΟΖΑΝΗΣ,819,1.538  905.084,291.866,246  190  136.272,,45.573,2.049  563  1.486
Νεάπολης,2,4  2.537,1.142,1  0  47,,13,4  1  3
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σιατίστης,1,2  134,48,3  1  1.868,977,3  0  3
Τσοτιλίου,3,7  3.226,1.411,1  1  102,33,11  3  8
Γαλατινής,10,15  7.107,3.035,2  0  784,399,11  1  10
?αμασκηνιάς,2,2  636,315,0  0  0,0,2  0  2
Ερατύρας,13,17  7.545,3.572,3  2  704,470,13  1  12
Ζώνης,1,1  292,164,0  0  0,0,1  0  1
Καλονερίου,2,2  253,105,0  0  0,0,0  0  0
Μικροκάστρου,2,2  522,229,0  0  0,0,1  0  1
Μολόχας,2,2  756,412,0  0  0,0,1  0  1
Μόρφης,0,0  0,0,1  1  667,372,1  0  1
Πενταλόφου,2,3  697,294,0  0  0,0,1  0  1
Σισανίου,5,5  868,384,1  0  79,25,2  0  2
Χορηγού,1,1  503,266,0  0  0,0,1  0  1
Πτολεμαϊδος,81,271  201.595,61.736,48  44  29.845,9.282,425  47  378
Αγίου Χριστοφόρου,1,1  805,360,2  1  489,423,2  0  2
Αναρράχης,11,12  7.707,3.301,4  3  813,445,7  1  6
Ανατολικού,8,10  20.916,3.848,3  0  2.642,1.147,4  0  4
Αρδάσσης,8,10  4.420,2.209,2  1  298,176,5  0  5
Βλάστης,3,4  2.081,1.061,2  2  400,228,6  1  5
Γαλατείας,1,1  660,191,0  0  0,0,0  0  0
?ροσερού,1,1  622,332,0  0  0,0,1  0  1
Εμπορίου,10,14  7.664,3.628,1  1  115,40,13  2  11
Ερμακιάς,1,1  210,116,0  0  0,0,0  0  0
Καρυοχωρίου,2,3  1.050,509,1  0  352,117,2  1  1
Κομνηνών,6,7  4.403,1.902,3  4  1.862,943,7  0  7
Μεσοβούνου,2,3  2.003,969,2  1  694,241,2  0  2
Μηλοχωρίου,4,4  1.648,868,0  0  0,0,2  0  2
Ολυμπιάδος,1,2  1.458,396,1  2  584,200,3  1  2
Περδίκκα,0,0  0,0,1  2  565,252,1  0  1
Ποντοκώμης,5,5  2.847,1.209,1  0  106,48,3  1  2
Προαστίου,0,0  0,0,1  0  638,193,0  0  0
Πύργων,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",3,4  3.725,1.648,7  7  2.451,1.270,5  1  4
Σπηλιάς,3,3  525,329,1  0  4.579,1.272,2  0  2
Βελβεντού,10,14  9.470,2.388,14  9  9.824,2.085,18  4  14
Κοζάνης,168,546  375.234,121.169,48  43  36.845,10.539,962  422  540
Πολυμύλου,1,2  541,184,0  0  0,0,1  0  1
Σερβίων,62,78  55.540,13.304,19  17  9.697,3.298,67  9  58
Φιλιππούπολης,2,2  879,400,0  0  0,0,3  2  1
Αγίας Παρασκευής,8,8  2.307,653,0  0  0,0,8  0  8
Αγίου ?ημητρίου,3,14  2.043,613,0  0  0,0,3  0  3
Αιανής,20,22  8.662,2.907,1  2  235,82,21  2  19
Ακρινής,2,2  822,372,0  0  0,0,2  0  2
¶νω Κώμης,29,31  8.356,2.390,5  2  1.686,461,29  1  28
Αργίλου,2,4  1.435,483,1  1  266,76,3  1  2
Αυλών,1,1  509,172,0  0  0,0,1  0  1
Βαθυλάκκου,1,2  955,367,1  2  87,125,1  0  1
Βατερού,4,5  3.913,1.239,2  2  832,230,4  0  4
?ρεπάνου,14,19  10.289,3.176,5  6  2.018,874,16  3  13
Ελάτης,9,17  12.693,5.676,10  6  3.001,1.545,18  4  14
Καισάρειας,50,50  10.372,2.787,2  0  704,250,51  0  51
Καπνοχωρίου,1,1  207,58,1  0  320,81,1  1  0
Καρυδίτσας,10,12  5.153,1.458,0  0  0,0,8  0  8
Καστανιάς,0,0  0,0,1  2  254,102,1  0  1
Κάτω Κώμης,9,9  1.947,632,0  0  0,0,9  0  9
Κερασέας,11,11  2.239,587,0  0  0,0,11  0  11
Κοιλάδος,1,1  802,267,1  1  169,60,2  0  2
Κοίλων,13,26  10.942,3.886,6  4  3.925,1.266,51  32  19
Κρανιδίων,13,14  3.362,897,0  0  0,0,14  0  14
Κρόκου,15,23  10.012,3.311,2  0  430,261,20  3  17
Λευκόβρυσης,11,12  3.488,1.109,1  0  200,61,12  1  11
Λευκοπηγής,26,26  6.278,1.711,2  2  708,231,26  1  25
Λιβαδερού,9,13  3.756,1.144,2  0  261,80,9  0  9
Λυγερής,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  266,146,0  0  0,,0,1  0  1
Μαυροδενδρίου,3,3  1.164,442,1  0  159,,50,2  0  2
Μεσιανής,3,5  1.640,601,1  1  421,,128,5  1  4
Μεταξά,5,9  2.572,1.088,0  0  0,,0,5  0  5
Μικροβάλτου,12,15  5.139,2.374,4  2  1.075,,643,13  2  11
Νεράιδας,0,0  0,0,2  0  563,,183,2  1  1
Ξηρολίμνης,1,1  478,162,0  0  0,,0,1  0  1
Οινόης,1,1  193,60,3  1  1.968,,681,1  1  0
Πετρανών,4,4  4.644,1.119,1  1  166,,42,4  1  3
Πλατανορρεύματος,7,8  4.836,1.239,0  0  0,,0,4  1  3
Πολυρράχου,1,1  176,48,0  0  0,,0,0  0  0
Πρωτοχωρίου,16,21  7.923,2.816,2  2  211,,114,14  1  13
Ροδιανής,9,9  3.918,1.531,0  0  0,,0,8  0  8
Ροδίτου,2,3  833,240,0  0  0,,0,1  0  1
Ρυακίου,1,11  691,318,1  0  94,,28,1  0  1
Ρυμνίου,2,3  950,288,0  0  0,,0,2  0  2
Σιδερά,2,2  711,246,0  0  0,,0,2  0  2
Σκήτης,1,2  729,454,1  0  275,,86,1  0  1
Σπάρτου,3,3  678,180,1  1  164,,59,4  1  3
Τρανοβάλτου,40,49  25.244,9.014,12  9  8.764,,3.020,61  7  54
Τριγωνικού,3,3  678,171,1  1  266,,266,3  0  3
ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,191,373  323.939,94.485,63  38  35.960,,9.626,580  239  341
Αμυνταίου,19,38  36.334,10.808,1  2  1.054,,270,55  8  47
Φλωρίνης,52,187  145.758,45.823,20  19  16.490,,4.390,409  210  199
Αγίου Αχιλλείου,1,2  604,178,0  0  0,,0,1  0  1
Αγίου Βαρθολομαίου,2,2  651,189,1  0  44,,8,2  1  1
Αγίου Γερμανού,2,2  710,236,0  0  0,,0,1  0  1
Αγίου Παντελεήμονος,4,4  3.177,961,1  1  492,,125,3  0  3
Αετού,3,3  1.555,419,1  0  386,,128,3  0  3
Αλώνων,1,1  618,212,0  0  0,,0,1  0  1
Αμμοχωρίου,9,10  9.657,2.629,1  0  171,,60,6  0  6
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αναργύρων,3,3  1.511,403,2  0  242,68,2  1  1
Ανταρτικού,1,1  388,96,0  0  0,0,1  0  1
Αντιγονείας,2,2  1.465,390,0  0  0,0,2  0  2
¶νω Υδρούσσης,1,1  304,80,0  0  0,0,0  0  0
Αρμενοχωρίου,3,4  1.010,266,2  2  1.179,294,4  2  2
Αχλάδας,1,1  368,90,1  0  365,120,1  0  1
Βαρικού,6,9  4.427,1.379,0  0  0,0,7  0  7
Βατοχωρίου,1,1  462,113,0  0  0,0,1  1  0
Βεγόρων,3,4  26.631,6.646,3  0  611,173,2  1  1
Βεύης,3,4  2.637,708,1  1  750,205,5  0  5
?ροσοπηγής,1,2  767,208,0  0  0,0,2  1  1
Εθνικού,0,0  0,0,1  0  226,60,1  1  0
Κάτω Καλλινίκης,1,1  944,278,0  0  0,0,1  0  1
Κέλλης,3,3  1.010,257,0  0  0,0,1  0  1
Κλαδορράχης,0,0  0,0,1  1  667,180,1  0  1
Κολχικής,4,4  1.679,500,0  0  0,0,4  1  3
Κρυσταλλοπηγής,2,3  3.546,950,0  0  0,0,1  1  0
Λαιμού,0,0  0,0,1  0  88,22,1  1  0
Λεβαίας (Λακκιάς),2,2  1.119,300,1  1  643,197,2  0  2
Λεχόβου,4,7  31.616,7.879,0  0  0,0,3  0  3
Μανιακίου,1,1  430,149,0  0  0,0,0  0  0
Μελίτης,6,6  4.463,1.117,8  5  5.492,1.435,7  2  5
Μεσοκάμπου,1,1  337,88,0  0  0,0,1  0  1
Μεσοχωρίου,1,1  4.345,1.100,2  1  1.308,346,1  0  1
Μικρολίμνης,2,3  827,179,2  1  138,38,2  1  1
Νέου Καυκάσου,1,1  752,190,0  0  0,0,1  0  1
Νεοχωρακίου,2,4  955,255,0  0  0,0,2  1  1
Νίκης,2,2  1.211,324,0  0  0,0,1  0  1
Νυμφαίου,3,4  1.980,629,0  0  0,0,1  0  1
Ξινού Νερού,5,7  6.026,1.773,2  1  1.829,461,4  0  4
Παππαγιάννη,2,2  1.150,319,1  0  439,120,1  0  1
Πεδινού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",0,0  0,0,2  0  740,206,1  0  1
Πελαργού,2,2  969,284,0  0  0,0,2  0  2
Περάσματος,0,0  0,0,1  0  52,18,1  1  0
Πολυποτάμου,1,1  527,180,0  0  0,0,1  0  1
Πρώτης,3,5  2.199,623,0  0  0,0,3  0  3
Σιταριάς,4,6  4.293,1.163,1  1  635,170,5  0  5
Σκλήθρου,1,1  504,125,0  0  0,0,0  0  0
Σκοπιάς,2,3  1.605,501,0  0  0,0,3  1  2
Σκοπού,0,0  0,0,1  0  237,60,0  0  0
Τριποτάμου,1,1  378,95,0  0  0,0,1  0  1
Υδρούσσης,0,0  0,0,1  0  342,85,1  0  1
Φανού,1,1  919,235,0  0  0,0,0  0  0
Φιλώτα,13,16  9.266,2.553,3  2  1.241,356,13  3  10
Φλαμπούρου,3,4  1.855,605,1  0  99,31,5  1  4
ΘΕΣΣΑΛΙΑ,2.573,4.872  3.361.392,991.944,1.326  1.194  1.286.933,250.675,6.474  2.032  4.442
ΝΟΜΟΣ ΚΑΡ?ΙΤΣΗΣ,333,544  410.218,109.498,179  119  87.910,22.075,638  103  535
Καρδίτσης,6,22  27.516,8.180,4  6  3.212,832,54  0  54
Μουζακίου,1,1  105,27,0  0  0,0,0  0  0
Παλαμά,3,4  5.908,1.372,1  0  73,20,4  1  3
Αγίου Γεωργίου,14,18  7.916,2.361,8  9  2.780,822,17  3  14
Αγίου Θεοδώρου,1,1  208,54,0  0  0,0,1  1  0
Αγναντερού,2,2  417,131,1  1  201,50,2  1  1
Αμυγδαλής,0,0  0,0,2  0  176,195,0  0  0
Ανάβρας,3,3  5.226,825,3  0  730,181,2  1  1
Ανθηρού,2,2  278,81,0  0  0,0,0  0  0
Ανθοχωρίου,2,6  651,168,1  0  699,209,2  0  2
Απιδέας,1,2  903,266,0  0  0,0,2  1  1
Αργιθέας,2,2  323,112,2  3  259,88,2  0  2
Αρτεσιανού,7,9  11.236,2.066,5  4  1.197,379,8  0  8
Βαθυλάκκου,1,1  165,45,0  0  0,0,1  1  0
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Βραγκιανών,0,0  0,0,1  1  240,80,0  0  0
Γελάνθης,1,1  542,197,2  0  1.611,378,2  1  1
Γεφυρίων,2,2  1.087,350,0  0  0,0,2  0  2
Γεωργικού,5,6  2.271,621,8  3  2.698,773,12  5  7
Γοργοβιτών,3,3  702,189,0  0  0,0,2  0  2
Γραμματικού,1,1  440,110,1  0  333,79,0  0  0
?ασοχωρίου,1,1  384,96,1  0  142,44,1  1  0
?ρακότρυπας,1,1  100,32,1  2  927,254,1  1  0
Ελληνοκάστρου,2,4  946,262,0  0  0,0,2  1  1
Ελληνοπύργου,2,3  712,219,0  0  0,0,2  0  2
Ερμητσίου,0,0  0,0,1  0  103,29,1  1  0
Ιτέας,2,3  1.745,535,0  0  0,0,7  4  3
Καλλιθήρου,3,6  2.602,610,5  5  3.616,945,8  0  8
Καλλιφωνίου,4,5  2.031,478,2  0  402,193,3  0  3
Καλυβακίων,0,0  0,0,1  0  91,15,1  1  0
Καναλίων,2,3  911,238,1  0  253,81,3  0  3
Καππά,1,1  240,68,0  0  0,0,1  0  1
Καρβασαρά,2,2  657,129,1  2  539,174,3  1  2
Καρδιτσομαγούλας,7,13  16.464,2.916,3  2  999,276,9  0  9
Καρίτσης ?ολόπων,5,7  2.617,760,1  0  60,20,7  1  6
Καροπλεσίου,0,0  0,0,1  1  69,23,0  0  0
Καρποχωρίου,4,6  2.016,594,0  0  0,0,5  1  4
Καστανιάς (Καστανέας),2,3  881,246,2  2  554,179,5  1  4
Καταφυγίου,0,0  0,0,1  2  739,201,1  0  1
Κέδρου,1,2  740,276,0  0  0,0,2  0  2
Κερασέας,1,1  360,119,0  0  0,0,1  0  1
Κοσκινά,3,4  2.321,604,1  1  111,37,3  0  3
Κρανέας,2,2  313,104,0  0  0,0,1  0  1
Κρύας Βρύσης,12,15  13.909,2.859,8  3  2.035,618,12  6  6
