Τοπική Κοινότητα ?αφνουδίου,2,2  174,58,0  0  0,,0,1  1  0
Τοπική Κοινότητα Εμμανουήλ,0,0  0,0,1  1  162,,54,1  1  0
Παππά,,,,,,,
Τοπική Κοινότητα Μετάλλων,0,0  0,0,1  0  450,,145,0  0  0
?ημοτική Κοινότητα Νέου,4,4  916,294,1  0  72,,24,2  1  1
Σουλίου,,,,,,,
Τοπική Κοινότητα,0,0  0,0,2  0  202,,67,1  1  0
Πενταπόλεως,,,,,,,
?ημοτική Κοινότητα Νέου,2,3  7.101,1.167,2  1  929,,186,3  1  2
Σκοπού,,,,,,,
Τοπική Κοινότητα Βαλτοτοπίου,2,2  507,124,0  0  0,,0,1  1  0
Τοπική Κοινότητα Μονόβρυσης,1,1  630,210,0  0  0,,0,0  0  0
Τοπική Κοινότητα Νεοχωρίου,1,1  311,89,0  0  0,,0,0  0  0
Σερρών,,,,,,,
Τοπική Κοινότητα Ψυχικού,1,1  1.060,265,0  0  0,,0,0  0  0
?ημοτική Κοινότητα Ηρακλείας,4,5  2.201,698,6  8  17.446,,3.132,7  3  4
Τοπική Κοινότητα Βαλτερού,2,2  391,97,1  1  670,,156,1  1  0
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Κοιμήσεως,4,4  1.139,275,4  6  2.022,618,5  0  5
Τοπική Κοινότητα Ποντισμένου,1,1  260,81,1  0  192,48,0  0  0
Τοπική Κοινότητα,1,1  232,72,0  0  0,0,0  0  0
Χρυσοχωράφων,,,,,,
Τοπική Κοινότητα Σκοτούσσης,3,4  1.299,433,0  0  0,0,2  0  2
Τοπική Κοινότητα Γεφυρουδίου,1,1  210,70,1  2  654,182,2  1  1
Τοπική Κοινότητα,1,1  252,63,1  0  153,51,1  1  0
Μελενικιτσίου,,,,,,
Τοπική Κοινότητα Στρυμονικού,2,2  357,119,1  0  213,56,3  3  0
Τοπική Κοινότητα,0,0  0,0,1  1  69,23,0  0  0
Καλοκάστρου,,,,,,
Τοπική Κοινότητα,2,2  327,102,0  0  0,0,0  0  0
Λιβαδοχωρίου,,,,,,
Τοπική Κοινότητα Χειμάρρου,0,0  0,0,1  0  54,18,1  1  0
?ημοτική Κοινότητα Νέας,1,1  150,50,2  1  723,241,0  0  0
Ζίχνης,,,,,,
Τοπική Κοινότητα Γαζώρου,2,3  2.126,362,0  0  0,0,1  0  1
Τοπική Κοινότητα ?ραβήσκου,1,1  597,199,0  0  0,0,1  0  1
Τοπική Κοινότητα Θολού,1,1  1.936,598,0  0  0,0,1  0  1
Τοπική Κοινότητα Μαυρολόφου,1,1  135,45,0  0  0,0,1  1  0
Τοπική Κοινότητα Μεσορράχης,0,0  0,0,1  0  2.214,738,0  0  0
Τοπική Κοινότητα Νέας Πέτρας,0,0  0,0,1  0  181,49,0  0  0
Τοπική Κοινότητα Σκοπιάς,0,0  0,0,1  0  70,20,0  0  0
?ημοτική Κοινότητα,10,11  3.822,1.141,3  2  572,204,6  2  4
Σιδηροκάστρου,,,,,,
Τοπική Κοινότητα,0,0  0,0,2  1  360,103,1  1  0
Βαμβακοφύτου,,,,,,
Τοπική Κοινότητα,0,0  0,0,1  1  228,57,0  0  0
Στρυμονοχωρίου,,,,,,
Τοπική Κοινότητα Χαροπού,2,2  1.999,622,1  0  179,51,2  1  1
Τοπική Κοινότητα Χορτερού,1,1  1.267,396,0  0  0,0,0  0  0
Τοπική Κοινότητα Αγκίστρου,0,0  0,0,1  0  250,75,0  0  0
Τοπική Κοινότητα,1,1  5.202,754,0  0  0,0,0  0  0
Αχλαδοχωρίου,,,,,,
Τοπική Κοινότητα Ροδοπόλεως,0,0  0,0,1  0  195,65,1  1  0
Τοπική Κοινότητα,2,2  550,132,1  1  324,88,1  1  0
Καστανούσσης,,,,,,
?ημοτική Κοινότητα Κερκίνης,1,1  400,92,4  2  535,184,3  3  0
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Πλατανακίων,1,1  722,197,0  0  0,,0,1  0  1
?ημοτική Κοινότητα Νέου,1,1  263,79,3  3  444,,146,4  2  2
Πετριτσίου,,,,,,,
Τοπική Κοινότητα Βυρωνείας,0,0  0,0,1  0  18,,6,0  0  0
Τοπική Κοινότητα Μανδρακίου,0,0  0,0,1  0  60,,20,1  1  0
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,225,361  155.791,45.075,70  59  38.025,,9.458,437  207  230
ΧΑΛΚΙ?ΙΚΗΣ,,,,,,,
?ημοτική Κοινότητα Πολυγύρου,25,39  15.598,4.813,7  6  2.124,,533,47  21  26
Τοπική Κοινότητα Αγίου,1,1  270,77,0  0  0,,0,0  0  0
Προδρόμου,,,,,,,
Τοπική Κοινότητα Βραστάμων,1,2  868,289,0  0  0,,0,1  0  1
Τοπική Κοινότητα Ολύνθου,1,2  840,280,4  4  1.211,,267,1  0  1
Τοπική Κοινότητα,1,1  210,79,0  0  0,,0,2  2  0
Παλαιοκάστρου,,,,,,,
Τοπική Κοινότητα Ταξιάρχου,1,1  160,50,2  2  670,,211,1  0  1
?ημοτική Κοινότητα Γαλατίστης,4,5  1.632,531,2  1  470,,103,4  1  3
Τοπική Κοινότητα Βάβδου,1,2  436,130,1  1  52,,17,2  1  1
Τοπική Κοινότητα Γαλαρινού,2,4  1.160,416,0  0  0,,0,3  2  1
Τοπική Κοινότητα,1,3  571,208,2  2  737,,239,3  1  2
Παλαιοχώρας,,,,,,,
Τοπική Κοινότητα,1,1  193,50,1  2  1.224,,295,4  4  0
Μαραθούσσης,,,,,,,
?ημοτική Κοινότητα Ορμυλίας,6,6  4.226,744,1  3  126,,46,3  1  2
?ημοτική Κοινότητα Ιερισσού,7,11  3.827,1.209,0  0  0,,0,12  8  4
?ημοτική Κοινότητα,3,5  1.482,453,1  1  87,,29,14  9  5
Αμμουλιανής,,,,,,,
Τοπική Κοινότητα Νέων Ρόδων,3,6  2.280,714,0  0  0,,0,8  4  4
Τοπική Κοινότητα Στρατονίκης,0,0  0,0,1  1  373,,87,0  0  0
?ημοτική Κοινότητα Αρναίας,5,7  3.177,1.071,0  0  0,,0,6  0  6
Τοπική Κοινότητα Βαρβάρας,0,0  0,0,1  1  531,,152,2  0  2
Τοπική Κοινότητα Νεοχωρίου,2,3  1.822,656,0  0  0,,0,3  2  1
?ημοτική Κοινότητα Μεγάλης,1,1  160,50,1  0  150,,50,2  2  0
Παναγίας,,,,,,,
Τοπική Κοινότητα Γοματίου,2,4  1.374,568,1  2  859,,196,6  0  6
Τοπική Κοινότητα Πυργαδικίων,4,7  2.795,1.030,0  0  0,,0,15  13  2
?ημοτική Κοινότητα,35,58  29.916,8.600,3  0  567,,180,72  33  39
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κασσανδρείας,,,,,,
Τοπική Κοινότητα Αφύτου,3,5  1.440,444,3  1  373,138,2  0  2
Τοπική Κοινότητα Καλάνδρας,1,1  477,143,0  0  0,0,1  0  1
Τοπική Κοινότητα,1,2  705,235,0  0  0,0,4  4  0
Κασσανδρηνού,,,,,,
Τοπική Κοινότητα Κρυοπηγής,5,7  3.077,931,0  0  0,0,6  1  5
?ημοτική Κοινότητα Νέας,4,5  1.040,343,1  0  75,75,3  1  2
Φωκαίας,,,,,,
Τοπική Κοινότητα Φούρκας,3,6  1.642,547,0  0  0,0,5  1  4
Τοπική Κοινότητα Χανιώτη,1,1  780,273,0  0  0,0,1  0  1
Τοπική Κοινότητα Αγίας,2,3  1.562,569,0  0  0,0,3  0  3
Παρασκευής,,,,,,
Τοπική Κοινότητα Νέας,3,4  1.672,503,1  0  206,57,5  1  4
Σκιώνης,,,,,,
Τοπική Κοινότητα Παλιουρίου,0,0  0,0,1  0  57,19,1  1  0
Τοπική Κοινότητα,4,6  1.718,564,1  2  464,157,5  1  4
Πευκοχωρίου,,,,,,
Τοπική Κοινότητα Πολυχρόνου,1,1  834,251,1  0  216,72,5  5  0
?ημοτική Κοινότητα Νέων,21,38  15.204,4.178,7  4  9.069,1.914,42  21  21
Μουδανιών,,,,,,
Τοπική Κοινότητα Αγίου,4,4  5.624,1.349,4  1  4.531,725,4  2  2
Μάμαντος,,,,,,
Τοπική Κοινότητα Νέας,4,8  1.378,454,1  1  340,108,11  8  3
Ποτειδαίας,,,,,,
Τοπική Κοινότητα Πορταριάς,1,1  500,172,0  0  0,0,1  0  1
Τοπική Κοινότητα Φλογητών,3,6  1.369,398,0  0  0,0,6  4  2
?ημοτική Κοινότητα Νέας,10,18  5.372,1.529,7  7  2.507,829,27  16  11
Καλλικράτειας,,,,,,
Τοπική Κοινότητα Αγίου,3,3  1.308,433,0  0  0,0,3  0  3
Παύλου,,,,,,
Τοπική Κοινότητα Λακκώματος,1,1  9.930,1.540,3  1  5.285,1.103,1  1  0
Τοπική Κοινότητα Νέας Γωνιάς,1,1  210,70,0  0  0,0,1  0  1
Τοπική Κοινότητα Νέων,1,1  581,172,1  1  250,50,1  0  1
Σιλάτων,,,,,,
?ημοτική Κοινότητα Νέας,5,9  5.981,1.339,0  0  0,0,4  0  4
Τριγλίας,,,,,,
Τοπική Κοινότητα Νέας,1,1  507,169,1  1  177,59,4  1  3
Τενέδου,,,,,,
Τοπική Κοινότητα Νέων,1,2  600,200,0  0  0,0,3  0  3
Πλαγίων,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
?ημοτική Κοινότητα Νικήτης,8,12  4.053,1.432,6  10  3.897,1.314,25  9  16
?ημοτική Κοινότητα Αγίου,9,15  4.779,1.460,2  3  792,256,17  9  8
Νικολάου,,,,,,
Τοπική Κοινότητα Μεταγκιτσίου,3,4  744,247,0  0  0,0,3  3  0
?ημοτική Κοινότητα Νέου,7,15  4.976,1.540,1  0  194,60,14  7  7
Μαρμαρά,,,,,,
?ημοτική Κοινότητα Συκέας,6,9  3.790,1.210,0  0  0,0,11  0  11
Τοπική Κοινότητα Σάρτης,1,3  941,362,1  1  411,117,7  7  0
ΠΕΡΙΦΕΡΕΙΑ ?ΥΤΙΚΗΣ,188,283  266.193,74.562,160  150  82.941,22.077,306  86  220
ΜΑΚΕ?ΟΝΙΑΣ,,,,,,
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,93,146  84.842,22.896,116  109  54.587,15.711,171  50  121
ΚΟΖΑΝΗΣ,,,,,,
?ημοτική Κοινότητα Κοζάνης,19,33  13.617,3.765,14  12  8.182,1.932,34  8  26
Τοπική Κοινότητα Βατερού,5,6  3.328,1.168,1  1  124,41,6  1  5
Τοπική Κοινότητα Καλαμιάς,0,0  0,0,1  0  508,150,1  0  1
Τοπική Κοινότητα Καρυδίτσας,0,0  0,0,1  0  350,101,0  0  0
Τοπική Κοινότητα Κοίλων,0,0  0,0,2  3  944,294,1  0  1
Τοπική Κοινότητα,2,4  1.710,529,1  1  78,25,3  1  2
Λευκόβρυσης,,,,,,
Τοπική Κοινότητα Λευκοπηγής,0,0  0,0,1  2  530,237,1  0  1
Τοπική Κοινότητα Πετρανών,0,0  0,0,1  1  402,120,1  0  1
Τοπική Κοινότητα Χαραυγής,1,1  281,87,2  1  221,75,0  0  0
?ημοτική Κοινότητα Αιανής,1,2  1.303,366,3  6  1.743,507,6  2  4
Τοπική Κοινότητα Ροδιανής,1,1  580,249,0  0  0,0,1  0  1
Τοπική Κοινότητα,0,0  0,0,2  1  1.255,359,2  1  1
Μαυροδενδρίου,,,,,,
Τοπική Κοινότητα Ποντοκώμης,0,0  0,0,1  1  380,116,1  0  1
?ημοτική Κοινότητα Κρόκου,2,2  1.008,317,1  1  373,137,2  0  2
Τοπική Κοινότητα ’νω Κώμης,1,2  666,261,0  0  0,0,1  0  1
Τοπική Κοινότητα Κάτω Κώμης,1,1  216,63,0  0  0,0,1  1  0
Τοπική Κοινότητα Κοιλάδος,1,1  1.795,300,1  1  331,106,1  0  1
Τοπική Κοινότητα Αγίου,0,0  0,0,1  1  341,117,0  0  0
?ημητρίου,,,,,,
Τοπική Κοινότητα Αγίου,0,0  0,0,1  0  270,65,0  0  0
Χαραλάμπους,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα ?ρεπάνου,0,0  0,0,4  4  1.276,412,3  1  2
Τοπική Κοινότητα Τετραλόφου,1,2  652,203,0  0  0,0,1  0  1
?ημοτική Κοινότητα Νεάπολης,0,0  0,0,1  1  1.185,579,1  0  1
Τοπική Κοινότητα,2,2  1.144,409,0  0  0,0,0  0  0
Αηδονοχωρίου,,,,,,
Τοπική Κοινότητα ?ρυοβούνου,0,0  0,0,1  0  83,41,0  0  0
Τοπική Κοινότητα Πεπονιάς,2,2  4.963,696,1  1  5.186,689,0  0  0
Τοπική Κοινότητα,1,2  767,326,0  0  0,0,1  0  1
Σκαλοχωρίου,,,,,,
Τοπική Κοινότητα Ερατύρας,4,5  4.011,1.109,2  1  448,165,1  0  1
?ημοτική Κοινότητα Σιατίστης,3,7  1.981,827,2  0  758,241,2  0  2
Τοπική Κοινότητα,1,1  472,126,1  0  99,33,1  1  0
Παλαιοκάστρου,,,,,,
Τοπική Κοινότητα Τσοτυλίου,0,0  0,0,2  2  499,156,2  2  0
Τοπική Κοινότητα Αγιάσματος,0,0  0,0,1  2  381,127,1  0  1
Τοπική Κοινότητα Κριμηνίου,0,0  0,0,2  0  290,113,1  1  0
Τοπική Κοινότητα Λικνάδων,1,1  277,105,0  0  0,0,1  0  1
Τοπική Κοινότητα Λούβρης,0,0  0,0,1  0  84,50,1  1  0
?ημοτική Κοινότητα,22,42  29.881,7.812,41  45  20.757,6.101,63  17  46
Πτολεμαΐδος,,,,,,
Τοπική Κοινότητα,1,2  3.188,450,2  2  344,117,2  2  0
Ασβεστοπέτρας,,,,,,
Τοπική Κοινότητα Γαλατείας,0,0  0,0,1  0  171,49,0  0  0
Τοπική Κοινότητα Ολυμπιάδος,1,1  416,109,1  1  546,182,2  0  2
Τοπική Κοινότητα Αγίου,1,1  720,240,0  0  0,0,1  0  1
Χριστοφόρου,,,,,,
Τοπική Κοινότητα,1,1  331,93,0  0  0,0,0  0  0
Καρυοχωρίου,,,,,,
Τοπική Κοινότητα Μεσοβούνου,1,1  517,101,0  0  0,0,2  2  0
Τοπική Κοινότητα Πύργων,3,4  1.398,494,2  1  1.099,363,2  1  1
Τοπική Κοινότητα Αναρράχης,2,2  415,95,1  1  102,152,1  1  0
Τοπική Κοινότητα Αρδάσσης,0,0  0,0,1  1  152,48,1  1  0
Τοπική Κοινότητα Φούφα,0,0  0,0,1  1  286,91,0  0  0
?ημοτική Κοινότητα Σερβίων,2,2  2.650,524,4  3  956,456,3  0  3
Τοπική Κοινότητα Γουλών,0,0  0,0,1  0  900,200,0  0  0
Τοπική Κοινότητα Ιμέρων,1,2  494,165,0  0  0,0,1  0  1
Τοπική Κοινότητα Καστανιάς,0,0  0,0,1  2  303,94,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Μεσιανής,0,0  0,0,1  2  640,205,1  0  1
Τοπική Κοινότητα,1,1  709,236,0  0  0,0,1  0  1
Πλατανορρεύματος,,,,,,
Τοπική Κοινότητα Ροδίτου,1,1  158,42,0  0  0,0,1  1  0
?ημοτική Κοινότητα Βελβεντού,2,5  1.549,623,4  3  1.695,556,7  3  4
Τοπική Κοινότητα Καταφυγίου,1,1  161,66,1  1  87,35,1  1  0
Τοπική Κοινότητα Τρανοβάλτου,0,0  0,0,1  2  24,10,0  0  0
Τοπική Κοινότητα Μικροβάλτου,1,2  494,126,1  1  204,64,1  0  1
Τοπική Κοινότητα Λιβαδερού,3,3  2.990,814,0  0  0,0,2  1  1
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,32,40  28.346,6.401,12  7  10.628,1.409,38  17  21
ΓΡΕΒΕΝΩΝ,,,,,,
?ημοτική Κοινότητα Γρεβενών,6,8  2.470,741,3  2  8.528,798,9  3  6
Τοπική Κοινότητα Αγίων,1,1  245,59,0  0  0,0,1  1  0
Θεοδώρων,,,,,,
Τοπική Κοινότητα Κυρακαλής,3,4  1.273,335,0  0  0,0,1  0  1
Τοπική Κοινότητα Μεγάλου,0,0  0,0,1  0  177,64,1  1  0
Σειρηνίου,,,,,,
Τοπική Κοινότητα Αβδέλλας,0,0  0,0,1  1  61,20,1  1  0
Τοπική Κοινότητα Κνίδης,1,1  2.940,400,1  0  329,71,0  0  0
Τοπική Κοινότητα Εξάρχου,1,1  158,56,0  0  0,0,0  0  0
Τοπική Κοινότητα Κέντρου,1,2  536,162,0  0  0,0,2  0  2
Τοπική Κοινότητα Κηπουρείου,1,2  653,237,1  1  161,49,3  1  2
Τοπική Κοινότητα Κρανέας,1,1  1.254,221,0  0  0,0,0  0  0
Τοπική Κοινότητα Πηγαδίτσης,1,1  497,238,0  0  0,0,1  0  1
Τοπική Κοινότητα Αγίου,1,1  2.370,425,0  0  0,0,0  0  0
Γεωργίου,,,,,,
Τοπική Κοινότητα Κιβωτού,3,3  2.912,929,0  0  0,0,4  0  4
Τοπική Κοινότητα Μαυραναίων,4,5  2.700,676,0  0  0,0,5  2  3
Τοπική Κοινότητα Αλατόπετρας,1,1  2.827,373,0  0  0,0,0  0  0
Τοπική Κοινότητα,2,2  195,49,0  0  0,0,1  1  0
Μεσολουρίου,,,,,,
Τοπική Κοινότητα Περιβολίου,0,0  0,0,1  0  230,61,1  1  0
Τοπική Κοινότητα Σαμαρίνας,4,6  4.755,875,2  1  405,133,5  4  1
Τοπική Κοινότητα Φιλιππαίων,0,0  0,0,1  0  217,70,1  1  0
?ημοτική Κοινότητα ?εσκάτης,1,1  2.561,625,1  2  520,143,2  1  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,31,47  107.858,33.490,20  24  10.388,3.010,45  9  36
ΚΑΣΤΟΡΙΑΣ,,,,,,
?ημοτική Κοινότητα Καστοριάς,4,7  3.288,1.088,3  5  1.441,393,8  1  7
Τοπική Κοινότητα Κορομηλέας,0,0  0,0,1  1  858,285,2  0  2
Τοπική Κοινότητα,4,5  24.047,7.172,1  1  237,79,4  1  3
Χιλιοδένδρου,,,,,,
Τοπική Κοινότητα Κορησού,1,2  1.261,300,0  0  0,0,2  0  2
Τοπική Κοινότητα,0,0  0,0,1  1  180,60,1  1  0
Σιδηροχωρίου,,,,,,
Τοπική Κοινότητα,1,1  30,10,1  2  965,215,2  0  2
?ενδροχωρίου,,,,,,
Τοπική Κοινότητα Γάβρου,0,0  0,0,1  0  104,39,0  0  0
Τοπική Κοινότητα,1,1  966,240,1  2  1.125,345,4  0  4
Μαυροχωρίου,,,,,,
Τοπική Κοινότητα ?ισπηλίου,1,1  255,62,1  1  222,40,0  0  0
Τοπική Κοινότητα Πολυκάρπης,1,1  75,25,0  0  0,0,1  1  0
?ημοτική Κοινότητα,6,11  4.314,1.380,2  2  582,192,6  0  6
Μεσοποταμιάς,,,,,,
Τοπική Κοινότητα Καλοχωρίου,1,1  8.199,3.110,0  0  0,0,0  0  0
Τοπική Κοινότητα Οινόης,0,0  0,0,1  1  1.452,350,0  0  0
Τοπική Κοινότητα Νεστορίου,1,1  162,54,0  0  0,0,1  1  0
Τοπική Κοινότητα Πτελέας,0,0  0,0,1  0  231,77,0  0  0
Τοπική Κοινότητα Επταχωρίου,0,0  0,0,1  2  640,171,2  0  2
?ημοτική Κοινότητα ’ργους,4,6  11.005,1.745,5  6  2.351,764,10  4  6
Ορεστικού,,,,,,
Τοπική Κοινότητα Βογατσικού,2,3  7.504,1.733,0  0  0,0,0  0  0
Τοπική Κοινότητα,2,4  10.147,2.597,0  0  0,0,1  0  1
Αμπελοκήπων,,,,,,
Τοπική Κοινότητα Γέρμα,1,2  605,151,0  0  0,0,1  0  1
Τοπική Κοινότητα Μηλίτσας,1,1  36.000,13.823,0  0  0,0,0  0  0
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,32,50  45.147,11.775,12  10  7.338,1.947,52  10  42
ΦΛΩΡΙΝΑΣ,,,,,,
?ημοτική Κοινότητα Φλωρίνης,8,14  8.159,2.037,2  2  1.578,485,12  6  6
Τοπική Κοινότητα Αλώνων,1,4  2.149,725,0  0  0,0,6  0  6
Τοπική Κοινότητα,1,2  1.222,426,0  0  0,0,1  0  1
Αρμενοχωρίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Σκοπιάς,2,3  933,273,0  0  0,,0,2  0  2
Τοπική Κοινότητα,0,0  0,0,1  1  756,,247,2  0  2
Νεοχωρακίου,,,,,,,
Τοπική Κοινότητα Αχλάδας,1,1  1.739,434,0  0  0,,0,0  0  0
Τοπική Κοινότητα Βεύης,1,1  712,178,0  0  0,,0,1  0  1
Τοπική Κοινότητα Μελίτης,0,0  0,0,2  1  362,,97,2  1  1
Τοπική Κοινότητα Σιταριάς,1,1  4.115,945,0  0  0,,0,0  0  0
Τοπική Κοινότητα Περάσματος,2,2  1.072,348,1  0  542,,135,2  0  2
?ημοτική Κοινότητα Αμυνταίου,6,9  14.409,4.402,2  0  2.035,,321,18  0  18
Τοπική Κοινότητα Ξινού Νερού,1,1  1.995,300,0  0  0,,0,0  0  0
Τοπική Κοινότητα Αετού,0,0  0,0,1  1  231,,92,0  0  0
Τοπική Κοινότητα Βαρικού,0,0  0,0,1  1  444,,131,2  2  0
Τοπική Κοινότητα Νυμφαίου,1,2  656,211,0  0  0,,0,1  0  1
Τοπική Κοινότητα Φιλώτα,3,4  4.972,872,1  3  1.118,,364,2  1  1
Τοπική Κοινότητα Λεβαίας,1,1  258,75,0  0  0,,0,0  0  0
Τοπική Κοινότητα Λαιμού,2,4  2.447,460,1  1  272,,75,1  0  1
Τοπική Κοινότητα Αγίου,1,1  309,89,0  0  0,,0,0  0  0
Γερμανού,,,,,,,
ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,353,598  383.417,114.000,234  226  110.744,,33.999,746  311  435
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,127,253  160.028,48.946,88  106  50.534,,15.538,339  147  192
ΙΩΑΝΝΙΝΩΝ,,,,,,,
?ημοτική Κοινότητα Ιωαννιτών,35,83  60.981,18.365,25  33  13.987,,5.225,131  79  52
Τοπική Κοινότητα Εξοχή,4,12  2.771,958,4  6  2.583,,856,15  8  7
?ημοτική Κοινότητα Μαρμάρων,6,14  9.900,2.921,2  3  827,,248,26  11  15
Τοπική Κοινότητα,1,2  1.780,807,3  4  1.286,,427,9  6  3
Νεοχωροπούλου,,,,,,,
?ημοτική Κοινότητα,5,9  5.800,1.676,1  2  340,,108,7  0  7
Σταυρακίου,,,,,,,
?ημοτική Κοινότητα Ανατολής,9,17  13.069,4.011,4  4  815,,278,31  13  18
Τοπική Κοινότητα Μπάφρας,1,2  3.827,600,0  0  0,,0,0  0  0
Τοπική Κοινότητα,3,6  2.381,736,1  1  3.982,,1.292,6  2  4
Νεοκαισαρείας,,,,,,,
?ημοτική Κοινότητα Πεδινής,8,14  9.117,2.850,2  2  1.155,,312,8  1  7
Τοπική Κοινότητα Κοσμηράς,1,2  875,294,0  0  0,,0,1  0  1
Τοπική Κοινότητα Μπιζανίου,2,4  3.810,1.176,2  1  803,,237,4  0  4
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
?ημοτική Κοινότητα Κατσικά,13,25  12.028,3.883,4  6  2.436,822,34  12  22
Τοπική Κοινότητα,1,2  380,129,0  0  0,0,1  0  1
?ροσοχωρίου,,,,,,
Τοπική Κοινότητα Κουτσελιού,2,2  1.138,413,1  1  452,109,3  0  3
Τοπική Κοινότητα Λογγάδων,0,0  0,0,1  1  613,87,1  0  1
Τοπική Κοινότητα Πλατάνου,1,1  674,225,1  0  139,116,1  0  1
?ημοτική Κοινότητα Περάμα,1,1  217,49,0  0  0,0,0  0  0
Τοπική Κοινότητα Αμφιθέας,0,0  0,0,2  2  1.335,348,0  0  0
Τοπική Κοινότητα Κρύας,0,0  0,0,1  1  300,120,0  0  0
Τοπική Κοινότητα Πραμάντων,0,0  0,0,1  1  243,97,0  0  0
Τοπική Κοινότητα Καλαρρυτών,0,0  0,0,1  1  373,98,1  0  1
Τοπική Κοινότητα Καλεντζίου,0,0  0,0,1  2  167,56,1  0  1
Τοπική Κοινότητα Επισκοπικού,0,0  0,0,1  1  409,58,1  0  1
Τοπική Κοινότητα Σερβιανών,1,2  411,164,0  0  0,0,1  0  1
Τοπική Κοινότητα Σκλίβανης,0,0  0,0,1  0  159,56,1  1  0
Τοπική Κοινότητα ?ωδώνης,0,0  0,0,1  2  726,230,2  1  1
Τοπική Κοινότητα Βαργιάδων,0,0  0,0,1  1  2.259,66,1  1  0
Τοπική Κοινότητα Σμυρτιάς,1,2  469,156,0  0  0,0,2  0  2
