Μοναχιτίου,1,2  403,128,1  0  47,16,3  1  2
Μυρσίνης,7,10  8.265,2.238,2  0  352,120,31  27  4
Οροπεδίου,6,9  2.268,875,1  2  645,215,7  1  6
Παλαιοχωρίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",3,4  1.272,369,0  0  0,,0,2  0  2
Παλιουριάς,3,5  1.273,400,0  0  0,,0,3  0  3
Παναγίας,3,3  9.416,3.027,0  0  0,,0,56  0  56
Πανοράματος,1,2  930,234,0  0  0,,0,1  0  1
Παρασκευής,1,2  350,123,0  0  0,,0,1  1  0
Περιβολίου,12,17  4.802,1.681,7  1  2.326,,791,19  3  16
Πηγαδίτσης,2,4  1.117,399,0  0  0,,0,2  0  2
Πολυδένδρου,2,2  2.058,560,1  0  453,,151,10  10  0
Πολυνερίου,9,18  5.351,1.772,2  2  303,,101,17  1  16
Ποντινής,1,1  1.028,244,0  0  0,,0,1  0  1
Προσβόρρου,4,6  1.551,526,0  0  0,,0,4  0  4
Ροδιάς,6,11  2.933,951,5  2  1.401,,372,10  1  9
Σαμαρίνης,24,38  9.215,2.751,3  3  438,,144,32  5  27
Σαρακήνας,4,6  1.658,542,1  0  268,,77,3  0  3
Σμίξης,10,19  6.742,2.207,2  1  186,,56,15  5  10
Σπηλαίου,6,9  3.402,1.021,1  2  330,,117,8  3  5
Συνδένδρου,6,11  2.974,948,1  0  150,,30,8  1  7
Ταξιάρχου,3,3  1.313,368,0  0  0,,0,4  3  1
Τρικοκκιάς,6,11  10.294,3.014,5  2  1.629,,533,35  1  34
Τρικώμου,1,1  337,110,1  0  54,,20,1  0  1
Φελλίου,2,9  16.260,4.889,1  0  149,,54,86  1  85
Φιλιππαίων,13,23  7.686,2.841,0  0  0,,0,15  1  14
ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,201,328  215.733,63.627,29  22  13.296,,4.025,248  55  193
Ακριτών,3,3  8.524,2.268,0  0  0,,0,0  0  0
¶ργους Ορεστικού,35,64  45.417,13.088,6  5  2.557,,820,51  8  43
Βιτσίου,11,15  9.020,2.041,3  4  1.807,,535,20  14  6
Καστορίας,43,99  55.426,17.836,5  6  3.646,,1.089,83  20  63
Αγίας Κυριακής,0,0  0,0,1  1  352,,110,1  0  1
Αγίου Αντωνίου,1,1  1.155,361,0  0  0,,0,0  0  0
Αγίου Ηλία,1,2  624,195,0  0  0,,0,1  0  1
Αμπελοκήπων,3,5  6.511,1.751,0  0  0,,0,2  0  2
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Ασπροκκλησιάς,1,1  1.320,400,0  0  0,,0,0  0  0
Βασιλειάδος,2,3  813,361,0  0  0,,0,2  0  2
Βογατσικού,15,18  7.415,2.342,2  1  843,,253,20  8  12
Γέρμα,5,7  2.013,649,0  0  0,,0,3  0  3
?ενδροχωρίου,1,1  784,261,0  0  0,,0,0  0  0
?ιαλεκτού,1,1  2.524,789,0  0  0,,0,0  0  0
?ισπηλίου,4,7  12.173,2.588,0  0  0,,0,4  0  4
Ιεροπηγής,16,16  15.246,5.276,0  0  0,,0,0  0  0
Κλεισούρας,1,2  352,110,0  0  0,,0,1  0  1
Κορησού,9,12  2.912,941,1  0  256,,94,6  0  6
Κορομηλέας,3,4  1.861,571,0  0  0,,0,2  0  2
Λεύκης,1,1  805,264,0  0  0,,0,1  0  1
Λιθιάς,1,2  511,165,0  0  0,,0,1  0  1
Μακροχωρίου,2,2  1.248,435,0  0  0,,0,1  0  1
Μανιάκων,13,24  18.065,4.260,4  0  1.570,,391,19  3  16
Μαυροχωρίου,11,16  7.052,2.147,2  2  400,,125,9  2  7
Μελανθίου,1,2  380,119,0  0  0,,0,1  0  1
Μελισσοτόπου,1,1  561,179,0  0  0,,0,1  0  1
Μεσοποταμιάς,12,15  10.739,3.492,2  1  873,,291,13  0  13
Μηλίτσας,1,1  384,120,1  1  717,,231,2  0  2
Νεστορίου,0,0  0,0,1  1  230,,72,1  0  1
Νοστίμου,1,1  387,128,0  0  0,,0,1  0  1
Πτεριάς,1,1  767,246,0  0  0,,0,1  0  1
Χιλιοδένδρου,1,1  744,244,1  0  45,,14,1  0  1
ΝΟΜΟΣ ΚΟΖΑΝΗΣ,874,1.679  994.449,339.256,216  137  100.034,,36.919,1.748  440  1.308
Νεάπολης,24,56  27.633,12.477,2  1  134,,51,50  2  48
Σιατίστης,16,31  32.302,11.408,10  7  11.046,,4.588,44  7  37
Τσοτιλίου,15,24  19.746,8.797,7  2  2.365,,1.264,43  11  32
Αγιάσματος,2,2  295,100,0  0  0,,0,0  0  0
Βυθού,1,2  623,303,0  0  0,,0,1  0  1
Γαλατινής,14,22  10.442,5.044,4  0  495,,258,16  5  11
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
?αμασκηνιάς,1,2  572,273,0  0  0,,0,1  0  1
?ρυοβούνου,1,2  528,215,1  0  60,,20,1  0  1
Ερατύρας,3,5  3.340,1.471,1  1  172,,52,3  0  3
Καλονερίου,5,7  1.233,617,4  2  3.211,,1.506,3  0  3
Κορυφής,1,1  796,306,0  0  0,,0,0  0  0
Κριμηνίου,1,1  172,114,0  0  0,,0,1  0  1
Λευκοθέας,1,2  4.213,939,0  0  0,,0,0  0  0
Μικροκάστρου,4,5  1.237,626,2  2  413,,186,5  3  2
Μόρφης,1,2  604,263,0  0  0,,0,1  0  1
Ναμάτων,4,7  2.220,952,0  0  0,,0,5  0  5
Παλαιοκάστρου,1,2  525,305,2  0  242,,148,3  2  1
Πενταλόφου,3,4  1.751,726,0  0  0,,0,2  0  2
Σισανίου,1,1  385,214,0  0  0,,0,1  0  1
Σκαλοχωρίου,0,0  0,0,1  0  776,,330,0  0  0
Τραπεζίτσης,1,1  820,560,0  0  0,,0,0  0  0
Πτολεμαϊδος,93,239  175.443,53.870,28  22  13.926,,5.003,315  69  246
Αγίου Χριστοφόρου,8,14  5.370,2.457,1  0  879,,268,7  0  7
Αναρράχης,19,25  14.495,6.885,3  3  1.156,,632,18  0  18
Ανατολικού,10,10  4.924,2.529,1  0  2.206,,578,5  0  5
Αρδάσσης,11,14  6.814,3.458,2  2  1.520,,629,11  1  10
Ασβεστοπέτρας,3,3  1.020,510,0  0  0,,0,2  0  2
Βλάστης,9,14  4.484,2.154,0  0  0,,0,13  5  8
Γαλατείας,3,3  1.136,608,0  0  0,,0,3  2  1
?ροσερού,0,0  0,0,1  0  191,,104,0  0  0
Εμπορίου,17,28  17.982,6.966,1  1  474,,334,19  0  19
Ερμακιάς,1,1  605,306,1  1  88,,42,1  0  1
Καρυοχωρίου,4,6  2.856,1.305,1  0  114,,60,5  1  4
Κομνηνών,7,13  5.266,2.429,2  1  278,,232,12  2  10
Μεσοβούνου,8,11  16.959,5.079,1  1  291,,220,8  0  8
Μηλοχωρίου,3,4  2.431,1.178,2  3  481,,356,4  1  3
Ολυμπιάδος,8,12  6.252,2.657,0  0  0,,0,8  1  7
Πενταβρύσου,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,2  395,180,0  0  0,,0,1  0  1
Περδίκκα,2,4  1.285,629,4  3  1.773,,1.133,5  2  3
Ποντοκώμης,2,3  778,431,5  7  2.197,,941,7  3  4
Πύργων,8,10  4.010,1.843,2  1  552,,425,5  0  5
Φούφα,9,11  5.611,3.095,2  1  1.017,,504,10  1  9
Βελβεντού,31,58  38.306,9.888,8  3  1.544,,799,34  5  29
Κοζάνης,179,534  315.639,108.082,46  42  30.745,,8.970,725  259  466
Πολυμύλου,2,3  1.558,477,1  0  436,,211,3  2  1
Σερβίων,31,49  26.434,9.310,11  6  3.941,,956,39  4  35
Φιλιππούπολης,7,8  3.776,1.233,2  0  277,,145,4  1  3
Αγίας Παρασκευής,3,5  2.109,654,0  0  0,,0,5  2  3
Αγίου ?ημητρίου,4,6  3.787,1.019,1  0  92,,29,2  1  1
Αιανής,14,19  7.718,2.776,5  1  558,,310,16  4  12
Ακρινής,9,11  6.740,2.288,2  0  1.086,,294,9  0  9
Αλωνακίων,1,1  500,178,0  0  0,,0,1  1  0
Αμυγδαλέας,2,3  1.111,614,1  0  96,,32,3  1  2
Ανθοτόπου,2,2  1.565,461,0  0  0,,0,1  0  1
¶νω Κώμης,9,15  6.428,2.417,3  1  828,,244,8  1  7
Αργίλου,4,7  2.385,796,1  2  559,,152,5  0  5
Αυλών,5,6  2.825,890,1  0  465,,156,7  0  7
Βαθυλάκκου,5,9  4.313,1.262,0  0  0,,0,4  2  2
Βατερού,7,10  12.203,2.620,0  0  0,,0,4  0  4
Γουλών,2,4  853,255,0  0  0,,0,2  1  1
?ρεπάνου,21,26  16.930,3.550,4  2  2.294,,763,14  3  11
Ελάτης,10,12  5.473,2.003,2  0  551,,240,11  0  11
Ιμέρων,3,3  1.348,441,0  0  0,,0,3  0  3
Καισάρειας,3,4  996,288,1  0  359,,119,3  0  3
Καλαμιάς,1,1  311,170,0  0  0,,0,1  1  0
Καπνοχωρίου,6,8  2.670,1.206,0  0  0,,0,5  0  5
Καρυδίτσας,8,13  5.748,2.045,1  0  261,,60,6  1  5
Καταφυγίου,1,1  276,85,1  1  120,,40,1  1  0
Κάτω Κώμης,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",4,5  2.063,741,1  1  580,116,5  0  5
Κερασέας,2,4  1.432,476,0  0  0,0,2  0  2
Κοιλάδος,7,12  3.649,1.410,3  3  1.127,335,7  0  7
Κοίλων,11,15  11.681,2.934,2  1  1.041,374,4  1  3
Κοντοβουνίου,0,0  0,0,1  0  244,135,1  1  0
Κρανιδίων,3,4  1.627,538,2  1  1.031,365,5  2  3
Κρόκου,28,39  18.564,6.407,8  5  2.815,1.069,35  7  28
Λευκάρων,4,4  2.253,727,0  0  0,0,3  0  3
Λευκόβρυσης,12,22  9.271,3.367,5  3  985,339,21  4  17
Λευκοπηγής,5,5  2.244,940,1  0  33,12,3  1  2
Λιβαδερού,24,37  12.149,3.843,0  0  0,0,24  3  21
Λιβερών,2,3  533,178,0  0  0,0,2  0  2
Μαυροδενδρίου,9,13  32.016,5.921,0  0  0,0,7  3  4
Μεσιανής,2,2  899,358,1  0  183,61,3  1  2
Μεταξά,12,17  6.774,2.636,0  0  0,0,15  0  15
Νεράιδας,1,1  1.798,432,1  1  290,91,1  0  1
Ξηρολίμνης,3,4  1.891,591,1  1  159,53,3  0  3
Οινόης,3,4  2.239,643,1  0  128,45,5  2  3
Πετρανών,2,3  907,290,1  1  86,28,2  0  2
Πλατανορρεύματος,10,13  5.407,1.718,0  0  0,0,10  2  8
Πολυρράχου,3,6  1.679,543,0  0  0,0,4  0  4
Πρωτοχωρίου,7,9  3.881,1.399,0  0  0,0,6  0  6
Πτελέας,1,1  268,88,1  0  157,50,0  0  0
Ροδιανής,1,1  459,160,2  1  303,99,3  1  2
Ροδίτου,6,8  3.934,1.353,0  0  0,0,6  1  5
Ρυμνίου,1,1  267,88,0  0  0,0,0  0  0
Σιδερά,0,0  0,0,1  0  313,171,0  0  0
Σκήτης,3,4  1.284,526,0  0  0,0,2  0  2
Σπάρτου,1,2  525,178,1  0  68,112,1  0  1
Τρανοβάλτου,5,7  2.451,564,0  0  0,0,5  2  3
Τριγωνικού,3,3  1.204,424,1  0  222,80,4  1  3
Χρωμίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",2,4  1.175,372,0  0  0,,0,3  0  3
Κοκκαρίου,1,2  370,124,0  0  0,,0,1  0  1
ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,379,586  414.057,115.568,79  45  37.531,,10.417,553  161  392
Αμυνταίου,28,47  50.632,12.869,5  6  3.935,,1.094,57  18  39
Φλωρίνης,63,155  133.044,38.333,13  19  12.702,,3.665,219  69  150
Αγίας Παρασκευής,4,5  3.158,792,0  0  0,,0,2  0  2
Αγίου Αχιλλείου,3,9  5.710,1.601,0  0  0,,0,12  9  3
Αγίου Βαρθολομαίου,6,6  5.461,1.445,1  0  239,,82,3  0  3
Αγίου Γερμανού,3,3  3.481,1.067,1  0  562,,154,0  0  0
Αγίου Παντελεήμονος,16,24  10.767,2.891,4  1  1.142,,342,16  9  7
Αγραπιδεών,1,1  978,300,0  0  0,,0,1  0  1
Αετού,10,15  10.294,3.050,3  1  594,,171,7  0  7
Ακρίτα,2,3  1.217,321,0  0  0,,0,1  0  1
Αμμοχωρίου,11,12  10.425,2.748,4  1  1.013,,273,9  3  6
Αναργύρων,2,2  748,235,0  0  0,,0,2  0  2
Ανταρτικού,7,9  4.939,1.478,0  0  0,,0,7  0  7
Αντιγονείας,4,4  4.083,991,1  1  400,,101,3  0  3
¶νω Καλλινίκης,3,5  3.050,882,3  0  1.555,,385,4  1  3
¶νω Κλεινών,1,1  439,150,1  0  85,,28,1  0  1
¶νω Υδρούσσης,1,1  854,210,0  0  0,,0,0  0  0
Αρμενοχωρίου,13,16  10.408,2.907,3  0  757,,149,4  0  4
Ατραπού,2,3  1.304,400,0  0  0,,0,2  0  2
Αχλάδας,3,3  1.308,320,1  2  223,,62,1  1  0
Βαλτονέρων,1,2  552,140,0  0  0,,0,1  0  1
Βαρικού,7,10  4.235,1.307,0  0  0,,0,7  0  7
Βεγόρων,1,1  852,238,2  1  736,,217,2  0  2
Βεύης,9,12  6.698,2.023,1  0  96,,32,11  0  11
Βροντερού,1,1  594,212,0  0  0,,0,1  0  1
Εθνικού,1,1  489,125,0  0  0,,0,0  0  0
Ιτέας,4,4  2.015,479,2  0  472,,136,4  1  3
Καλλιθέας,2,3  1.479,419,0  0  0,,0,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Καρυών,1,1  696,241,1  0  461,150,2  0  2
Κάτω Καλλινίκης,2,3  1.399,354,0  0  0,0,1  0  1
Κάτω Κλεινών,7,9  5.071,1.309,0  0  0,0,4  0  4
Κέλλης,1,1  950,240,1  1  387,116,1  0  1
Κλαδορράχης,1,1  615,151,0  0  0,0,0  0  0
Κλειδίου,1,1  460,134,0  0  0,0,1  0  1
Κολχικής,1,1  426,162,0  0  0,0,1  0  1
Κρατερού,2,3  1.398,442,0  0  0,0,3  0  3
Λαιμού,3,5  3.502,971,0  0  0,0,19  19  0
Λεβαίας (Λακκιάς),3,3  1.798,480,1  1  144,53,4  1  3
Λευκώνος,5,6  2.456,684,0  0  0,0,4  0  4
Λεχόβου,6,11  3.975,1.209,2  1  585,106,11  3  8
Λιμνοχωρίου,0,0  0,0,1  0  286,97,1  0  1
Λόφων,1,2  1.762,540,3  0  1.719,430,2  0  2
Μανιακίου,6,10  4.215,1.144,0  0  0,0,6  0  6
Μαρίνης,2,2  688,174,0  0  0,0,0  0  0
Μελίτης,15,18  13.283,3.570,4  1  1.965,539,11  3  8
Μεσοκάμπου,1,1  627,155,1  0  274,88,1  0  1
Μεσονησίου,1,1  728,240,0  0  0,0,1  0  1
Μεσοχωρίου,1,1  292,73,2  1  501,133,2  1  1
Νέου Καυκάσου,4,5  2.178,690,1  0  129,41,3  1  2
Νίκης,3,3  2.123,653,3  1  1.153,331,3  0  3
Νυμφαίου,3,4  2.749,815,1  1  606,201,8  6  2
Ξινού Νερού,7,8  4.932,1.387,3  2  442,136,8  2  6
Παλαίστρας,0,0  0,0,1  0  1.224,221,1  1  0
Παππαγιάννη,4,6  2.977,808,0  0  0,0,3  0  3
Παρορείου,1,1  391,97,0  0  0,0,0  0  0
Πεδινού,4,4  5.625,1.440,0  0  0,0,1  1  0
Πελαργού,3,4  1.786,504,1  1  425,113,3  0  3
Περάσματος,6,8  4.696,1.387,2  0  1.094,322,6  1  5
Πετρών,3,4  1.602,409,1  0  427,110,1  0  1
Πισοδερίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",6,10  5.940,1.953,0  0  0,,0,12  8  4
Πλατέος,3,6  2.201,642,1  1  193,,68,4  1  3
Πολυπλατάνου,1,1  509,130,0  0  0,,0,1  0  1
Πολυποτάμου,2,4  887,240,1  2  253,,63,1  0  1
Πρώτης,3,4  2.443,724,0  0  0,,0,2  0  2
Σιταριάς,7,7  4.815,1.305,0  0  0,,0,3  0  3
Σκλήθρου,6,6  3.379,987,0  0  0,,0,3  0  3
Σκοπιάς,4,6  4.234,1.207,0  0  0,,0,4  0  4
Σκοπού,2,3  1.046,290,0  0  0,,0,1  0  1
Τριανταφυλλέας,1,2  1.038,305,0  0  0,,0,1  0  1
Τριποτάμου,1,2  290,79,1  0  125,,32,1  1  0
Τροπαιούχου,3,4  1.965,559,0  0  0,,0,2  0  2
Υδρούσσης,4,5  2.472,692,0  0  0,,0,3  0  3
Φανού,3,3  3.185,752,0  0  0,,0,0  0  0
Φιλώτα,22,31  24.519,6.607,1  0  299,,75,20  1  19
Φλαμπούρου,3,6  2.161,610,1  0  328,,101,4  0  4
Ψαράδων,1,1  359,90,0  0  0,,0,1  0  1
ΘΕΣΣΑΛΙΑ,2.478,4.756  3.508.393,933.192,1.483  1.332  1.132.494,,223.738,5.775  1.475  4.300
ΝΟΜΟΣ ΚΑΡ?ΙΤΣΗΣ,381,745  390.724,115.409,275  204  197.501,,41.221,856  174  682
Καρδίτσης,98,205  144.550,44.048,56  42  24.582,,7.663,265  19  246
Μουζακίου,15,21  10.752,3.126,13  12  3.717,,1.246,12  4  8
Παλαμά,16,23  9.105,2.750,10  5  1.441,,421,19  3  16
Σοφάδων,33,122  49.615,14.630,24  22  12.246,,3.152,142  31  111
Αγίας Παρασκευής,0,0  0,0,1  0  280,,72,1  0  1
Αγίας Τριάδος,1,2  495,220,0  0  0,,0,1  0  1
Αγιοπηγής,1,1  2.560,480,0  0  0,,0,0  0  0
Αγίου Ακακίου,2,3  676,169,0  0  0,,0,1  1  0
Αγίου Γεωργίου,0,0  0,0,3  0  346,,189,1  1  0
Αγίου ?ημητρίου,14,51  29.422,8.966,13  15  6.313,,1.850,74  20  54
Αγίου Θεοδώρου,4,6  5.280,987,1  0  30.662,,2.599,2  1  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αγναντερού,0,0  0,0,3  3  1.097,336,4  1  3
Αμαράντου,11,35  14.487,4.495,23  33  9.872,2.927,68  26  42
Αμπελικού,2,6  2.119,722,7  10  5.646,1.775,15  5  10
Αμπέλου,2,2  1.034,240,1  0  300,149,1  0  1
Αμυγδαλής,1,2  592,167,2  1  520,163,3  0  3
Ανάβρας,0,0  0,0,2  2  3.505,668,1  1  0
Ανθοχωρίου,1,1  2.459,572,0  0  0,0,0  0  0
Ανωγείου,25,54  29.835,9.513,3  0  2.403,796,47  4  43
Αργιθέας,0,0  0,0,1  0  110,30,1  1  0
Αρτεσιανού,5,5  2.360,705,6  1  2.595,732,9  1  8
Ασημοχωρίου,1,1  214,72,0  0  0,0,1  0  1
Βατσουνιάς,0,0  0,0,1  1  106,22,0  0  0
Βλοχού,0,0  0,0,1  0  658,162,0  0  0
Γελάνθης,0,0  0,0,1  0  12,4,0  0  0
Γεφυρίων,0,0  0,0,1  0  184,48,1  1  0
Γεωργικού,3,5  1.890,582,1  1  210,62,4  0  4
Γοργοβιτών,1,1  243,64,2  1  367,118,3  2  1
Γραμματικού,0,0  0,0,1  1  437,111,1  0  1
?ασοχωρίου,1,2  990,240,0  0  0,0,1  0  1
Ελληνικών,0,0  0,0,1  1  60,21,0  0  0
Ελληνοπύργου,4,7  1.425,420,1  0  123,37,4  2  2
Ερμητσίου,1,1  439,125,0  0  0,0,0  0  0
Ζαϊμίου,2,2  479,164,0  0  0,0,2  1  1
Ιτέας,1,1  154,51,1  1  304,82,1  1  0
Καλλιθήρου,3,4  1.074,329,3  3  2.070,604,4  0  4
Καλλιφωνίου,6,8  1.596,477,1  0  219,273,5  1  4
Καλυβακίων,1,1  3.108,560,0  0  0,0,0  0  0
Καναλίων,1,1  307,120,1  2  250,60,2  1  1
Καππά,1,1  159,53,2  0  480,148,1  1  0
Καππαδοκικού,1,1  486,150,0  0  0,0,1  0  1
Καρδιτσομαγούλας,5,5  1.448,403,12  6  12.610,2.861,10  2  8
Καρίτσης ?ολόπων,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",2,3  1.244,399,1  0  300,100,4  0  4
Καροπλεσίου,2,2  743,198,2  2  438,146,2  1  1
Καρποχωρίου,3,6  2.535,727,0  0  0,0,4  0  4
Καστανιάς (Καστανέας),4,8  2.539,723,2  1  1.281,408,6  2  4
Κέδρου,4,7  1.264,370,3  2  5.420,1.234,3  3  0
Κερασέας,2,2  490,144,2  4  639,213,3  0  3
Κοσκινά,0,0  0,0,1  0  98,33,1  1  0
Κρανέας,1,1  105,35,1  0  233,63,1  1  0
Κρύας Βρύσης,0,0  0,0,2  0  365,93,1  1  0
Κρυονερίου,5,9  6.477,1.492,1  1  120,38,9  1  8
Κυψέλης,2,2  4.448,1.476,0  0  0,0,1  0  1
Λαζαρίνας,0,0  0,0,1  0  235,32,1  1  0
Λαμπερού,1,2  672,224,1  1  472,117,3  0  3
Λεονταρίου,4,5  1.741,511,2  2  534,159,3  0  3
Λεύκης,0,0  0,0,1  1  90,25,0  0  0
Λοξάδας,2,2  487,154,2  1  740,247,4  2  2
Λουτροπηγής,3,8  2.190,610,0  0  0,0,4  0  4
Λουτρού,0,0  0,0,1  0  800,200,0  0  0
Μαγούλας,2,2  583,177,1  0  130,31,2  1  1
Μαγουλίτσης,1,1  544,163,1  0  194,57,2  1  1
Μακρυχωρίου,3,3  675,235,1  0  235,68,3  2  1
Μαραθέας,2,2  1.366,324,1  0  117,39,1  1  0
Μάρκου,1,1  288,74,0  0  0,0,1  0  1
Μασχολουρίου,1,1  588,186,0  0  0,0,1  0  1
Ματαράγκας,2,3  955,336,2  1  480,160,3  1  2
Μαυραχάδων,0,0  0,0,1  0  137,41,1  1  0
Μαυρομματίου,3,4  3.367,1.131,2  1  164,57,2  0  2
Μελίσσης,1,1  150,38,1  1  534,148,2  1  1
Μεσενικόλα,1,1  176,42,3  0  774,262,0  0  0
Μεταμορφώσεως,1,1  517,135,0  0  0,0,1  0  1
Μητροπόλεως,8,9  3.539,952,5  5  1.398,423,6  1  5
Μορφοβουνίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",1,2  250,84,1  0  154,42,2  1  1
Μοσχάτου,2,3  1.560,432,1  0  192,107,3  0  3
Μπελοκομίτης,1,1  259,72,1  0  238,79,2  1  1
Μυρίνης,4,5  2.254,696,2  1  476,160,4  1  3
Νεοχωρίου,6,6  2.393,750,10  3  1.917,605,12  7  5
Ορφανών,0,0  0,0,1  0  155,45,1  1  0
Παλαιοκκλησίου,1,1  582,211,0  0  0,0,2  0  2
Παλαιοχωρίου,2,3  1.066,222,0  0  0,0,1  0  1
Πεδινού,0,0  0,0,1  0  75,25,1  1  0
Πεζούλας,8,13  5.763,1.371,5  4  2.221,507,12  3  9
Πετρίλου,1,1  332,103,0  0  0,0,1  0  1
Πετρίνου,1,2  60,30,1  0  107,29,1  1  0
Πετρωτού,0,0  0,0,1  1  267,70,1  1  0
Πορτίτσης,1,2  573,150,1  1  181,60,2  0  2
Προαστίου,2,2  1.351,382,1  1  154,44,3  1  2
Προδρόμου,3,3  1.625,433,2  1  4.667,571,4  1  3
Πτελοπούλας,1,1  236,59,1  1  396,132,2  1  1
Πύργου Ιθώμης,2,4  1.883,467,0  0  0,0,4  0  4
Πύργου Κιερίου,1,1  460,51,1  1  2.114,528,0  0  0
Ραχούλας,4,6  2.503,566,1  2  630,215,2  0  2
Ρεντίνης,1,2  284,95,0  0  0,0,1  0  1
Ριζοβουνίου,0,0  0,0,1  1  354,77,0  0  0
Ρούσσου,0,0  0,0,1  0  60,20,0  0  0
Σταυρού,5,8  5.120,1.318,1  0  90,30,4  1  3
Στεφανιάδος,1,2  265,80,0  0  0,0,1  0  1
Συκεών,1,1  1.207,350,0  0  0,0,0  0  0
Φιλίας,0,0  0,0,1  1  43.400,4.100,0  0  0
Φράγκου,2,2  890,229,0  0  0,0,2  0  2
Φυλακτής,3,4  1.719,553,0  0  0,0,3  0  3
Φύλλου,3,4  1.053,249,0  0  0,0,2  0  2
ΝΟΜΟΣ ΛΑΡΙΣΗΣ,839,1.711  1.613.583,405.081,365  315  495.170,84.630,1.997  564  1.433
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
