Κορινού,18,27  17.951,4.573,15  15  5.410,1.648,35  17  18
Λαγορράχης,4,4  4.152,985,2  3  714,238,3  0  3
Λεπτοκαρυάς,46,71  19.128,6.208,10  10  4.999,1.638,70  37  33
Λιβαδίου,2,2  488,139,3  6  2.067,689,4  0  4
Λόφου,8,16  6.300,1.977,9  11  3.203,1.036,19  8  11
Μακρυγιάλου,13,21  6.461,2.132,15  16  8.217,2.157,34  8  26
Μεθώνης,6,10  7.208,1.670,3  3  1.199,379,5  1  4
Μηλιάς (Κάτω Μηλέας),7,11  4.232,1.380,5  6  5.899,1.965,11  5  6
Μοσχοποτάμου,1,1  300,100,3  2  666,222,1  1  0
Μοσχοχωρίου,2,5  1.539,513,3  4  1.328,424,7  0  7
Νέας Αγαθουπόλεως,1,1  151,51,2  4  625,168,2  1  1
Νέας Εφέσου,6,7  10.183,2.472,7  7  6.041,1.508,11  2  9
Νέας Τραπεζούντος,1,1  864,334,0  0  0,0,1  0  1
Νεοκαισαρείας,2,3  1.677,520,0  0  0,0,2  0  2
Παλαιοστάνης,0,0  0,0,2  2  657,209,1  0  1
Παλαιού Ελευθεροχωρίου,3,6  3.618,1.142,0  0  0,0,5  1  4
Παλαιού Κεραμιδίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  198,53,0  0  0,,0,0  0  0
Παντελεήμονος,2,4  1.611,488,10  17  5.718,,1.937,19  7  12
Παραλίας,33,80  50.787,14.007,36  51  28.459,,8.187,98  28  70
Περιστάσεως,15,19  17.110,3.607,14  19  6.094,,2.001,27  6  21
Πλαταμώνος,10,22  13.825,4.219,8  10  5.359,,1.830,54  41  13
Πόρων,7,13  6.395,2.159,4  2  677,,237,33  23  10
Πύδνης,8,13  6.426,2.061,3  1  577,,207,10  1  9
Ρητίνης,5,7  6.532,718,3  4  688,,237,7  3  4
Σβορώνου,2,4  809,270,0  0  0,,0,2  0  2
Σεβαστής,3,4  868,267,0  0  0,,0,3  0  3
Σκοτίνης,4,8  1.327,468,3  3  697,,226,5  0  5
Σφενδαμίου,1,1  654,218,0  0  0,,0,1  0  1
Τριλόφου,2,2  812,200,0  0  0,,0,0  0  0
Φωτεινών,2,4  1.270,391,0  0  0,,0,3  1  2
Ψαράδων,1,2  274,95,0  0  0,,0,1  1  0
ΝΟΜΟΣ ΣΕΡΡΩΝ,525,972  958.791,219.212,335  221  156.656,,38.078,1.121  254  867
Νιγρίτης,42,114  98.684,26.637,32  27  9.229,,2.981,186  56  130
Αγίας Παρασκευής,76,138  125.051,29.884,37  22  22.030,,5.529,153  24  129
Αγίου ?ημητρίου,27,43  25.031,6.511,12  14  4.536,,1.494,44  8  36
Αηδονοχωρίου,22,40  57.303,13.175,14  5  2.602,,831,32  13  19
Αμπέλων,26,34  113.944,15.857,9  4  1.576,,522,26  5  21
Ανθής,33,41  20.752,5.811,25  17  13.289,,2.930,44  12  32
Αχινού,9,12  5.221,1.525,6  7  17.501,,2.595,11  3  8
Βέργης,6,9  5.339,1.568,10  8  2.940,,889,11  3  8
?άφνης,6,8  4.537,1.031,4  0  578,,156,4  1  3
?ημητρητσίου,4,4  2.915,697,6  1  2.235,,527,5  2  3
Ευκαρπίας,4,11  11.591,2.830,1  0  197,,64,23  9  14
Ζερβοχωρίου,2,2  1.702,518,3  3  572,,166,4  1  3
Ιβήρων,0,0  0,0,1  1  408,,102,0  0  0
Καλοκάστρου,0,0  0,0,1  0  560,,112,0  0  0
Καστανοχωρίου,1,1  800,160,0  0  0,,0,0  0  0
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Λευκοτόπου,2,4  1.000,336,1  2  400,114,3  1  2
Μαυροθαλάσσης,2,2  2.086,421,3  2  461,232,2  0  2
Νέων Κερδυλίων,2,2  388,99,3  3  477,167,4  1  3
Νικοκλείας,0,0  0,0,1  0  1.542,319,0  0  0
Τερπνής,0,0  0,0,1  1  196,56,0  0  0
Φλαμπούρου,3,4  1.721,448,4  3  814,218,6  1  5
Ηρακλείας,12,21  10.053,2.971,15  6  2.958,1.192,19  5  14
Σερρών,41,155  103.129,28.882,33  24  10.270,3.154,220  41  179
Αγίας Ελένης,12,29  11.640,3.750,8  5  3.369,801,35  4  31
Αγίου Πνεύματος,5,6  1.793,559,4  3  955,287,6  3  3
Αδελφικού,2,2  2.726,397,2  3  657,203,2  0  2
Αναγεννήσεως,8,9  4.717,1.331,4  3  1.516,443,7  2  5
¶νω Βροντούς,5,6  5.385,898,2  0  518,232,2  0  2
¶νω Καμήλας,5,8  2.280,752,0  0  0,0,3  0  3
Βαλτοτοπίου,3,4  1.268,370,2  2  694,199,4  1  3
Βαμβακιάς,0,0  0,0,2  1  796,240,2  0  2
?ασοχωρίου,2,2  2.550,819,0  0  0,0,0  0  0
Εμμανουήλ Παππά,9,9  12.661,2.244,2  1  217,63,4  1  3
Επταμύλων,0,0  0,0,1  1  1.157,241,0  0  0
Ζευγολατιού,8,27  12.010,3.737,6  2  1.169,363,27  9  18
Καρπερής,0,0  0,0,1  0  18,6,1  1  0
Κάτω Καμήλας,0,0  0,0,1  0  280,92,1  0  1
Λευκώνος,14,19  17.056,3.919,2  1  811,277,9  3  6
Λιθοτόπου,1,2  720,240,0  0  0,0,1  0  1
Μελενικιτσίου,1,1  324,108,0  0  0,0,0  0  0
Μητρουσίου,5,7  3.156,764,0  0  0,0,4  1  3
Μονοκκλησιάς,0,0  0,0,1  1  180,55,1  1  0
Νέου Σκοπού,3,4  1.929,542,2  0  280,89,2  1  1
Νέου Σουλίου,4,8  3.538,1.156,1  2  598,213,5  0  5
Νεοχωρίου,3,3  1.043,351,2  1  478,143,5  2  3
Ορεινής,0,0  0,0,1  1  384,120,1  0  1
Παλαιοκάστρου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  400,100,0  0  0,,0,0  0  0
Προβατά,0,0  0,0,1  0  402,,134,0  0  0
Σκοτούσσης,7,10  4.688,1.121,1  0  138,,46,4  1  3
Σκουτάρεως,3,6  1.797,791,0  0  0,,0,3  0  3
Στρυμονικού,2,2  1.446,376,2  0  1.286,,402,3  1  2
Χειμάρρου,1,1  491,127,1  2  479,,125,2  0  2
Χιονοχωρίου,1,1  300,100,0  0  0,,0,1  0  1
Χρυσοχωράφων,2,3  2.493,647,1  0  99,,27,3  1  2
Ψυχικού,1,1  387,118,1  1  459,,153,2  0  2
Σιδηροκάστρου,25,30  23.415,6.238,16  9  4.380,,1.257,27  4  23
Αγκίστρου,0,0  0,0,2  2  359,,120,2  1  1
Ακριτοχωρίου,1,1  230,60,0  0  0,,0,0  0  0
Αμμουδιάς,2,2  881,209,2  1  506,,168,2  0  2
Ανατολής,1,1  1.296,364,0  0  0,,0,0  0  0
¶νω Ποροϊων,1,2  700,230,3  1  1.414,,447,6  1  5
Αχλαδοχωρίου,2,4  917,299,1  1  292,,92,2  0  2
Βαλτερού,2,3  1.321,377,0  0  0,,0,3  0  3
Βαμβακοφύτου,1,1  230,72,1  0  160,,82,0  0  0
Βυρωνείας,1,1  331,98,3  2  1.167,,296,2  0  2
Γονίμου,1,1  122.505,16.334,1  0  165,,55,1  0  1
Καμαρωτού,4,4  3.972,1.163,1  0  310,,104,3  1  2
Καστανούσσης,0,0  0,0,1  1  207,,69,0  0  0
Κάτω Ποροϊων,3,4  3.891,885,1  1  291,,97,2  0  2
Κερκίνης,5,5  3.974,1.202,1  1  102,,34,3  2  1
Κοιμήσεως,0,0  0,0,2  2  895,,290,1  0  1
Λιβαδιάς,0,0  0,0,2  0  534,,187,0  0  0
Λιμνοχωρίου,0,0  0,0,1  0  57,,16,0  0  0
Μανδρακίου,1,1  650,200,1  1  416,,139,1  0  1
Μεγαλοχωρίου,1,1  700,226,1  2  150,,50,2  1  1
Νέου Πετριτσίου,3,4  1.208,367,1  0  361,,124,4  0  4
Ποντισμένου,3,4  1.330,372,3  1  742,,273,3  1  2
Προμαχώνος,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",2,2  657,185,0  0  0,,0,2  0  2
Ροδοπόλεως,4,4  3.355,1.022,0  0  0,,0,1  0  1
Στρυμονοχωρίου,2,3  576,160,1  1  180,,60,2  0  2
Χαροπού,1,3  835,298,1  0  215,,63,1  0  1
Νέας Ζίχνης,3,4  831,257,0  0  0,,0,2  0  2
Αγγίστης,1,1  40.000,8.476,2  3  580,,193,2  0  2
Αγίου Χριστοφόρου,1,1  780,163,0  0  0,,0,0  0  0
Αγιοχωρίου,1,6  2.094,698,0  0  0,,0,5  0  5
Αγριανής,1,3  792,269,0  0  0,,0,2  0  2
Αλιστράτης,5,11  7.339,2.410,1  1  368,,126,20  6  14
Αμφιπόλεως,5,18  14.353,4.764,0  0  0,,0,34  14  20
Αναστασίας,2,3  1.201,380,0  0  0,,0,2  0  2
Γαζώρου,2,6  2.174,726,2  0  19.564,,2.342,5  1  4
?αφνουδίου,0,0  0,0,1  1  433,,144,1  0  1
?ομίρου,0,0  0,0,1  1  300,,100,1  0  1
?ραβήσκου,1,1  339,119,3  1  8.530,,1.322,2  0  2
Κορμίστης,1,1  381,112,0  0  0,,0,1  0  1
Μικρού Σουλίου,1,1  81,23,0  0  0,,0,0  0  0
Μυρρίνης,2,7  7.237,2.233,0  0  0,,0,15  0  15
Νέας Μπάφρας,1,2  171,57,0  0  0,,0,1  1  0
Παλαιοκώμης,1,1  456,164,1  2  569,,197,2  0  2
Ροδολίβους,0,0  0,0,2  2  186,,51,2  2  0
Σταθμού Αγγίστης,2,7  18.611,3.072,0  0  0,,0,13  1  12
Συμβολής,0,0  0,0,1  2  590,,177,1  0  1
Τούμπας,1,2  932,250,2  2  322,,99,3  0  3
ΝΟΜΟΣ ΧΑΛΚΙ?ΙΚΗΣ,826,1.531  921.696,269.797,279  242  126.470,,36.279,2.422  1.303  1.119
Λαγκαδά,1,2  623,202,0  0  0,,0,2  0  2
Σοχού,1,3  1.332,454,0  0  0,,0,5  0  5
Αρναίας,7,12  5.375,1.687,4  4  1.120,,339,13  6  7
Ιερισσού,17,35  13.302,4.154,10  7  3.082,,975,39  20  19
Αμμουλιανής,3,4  2.207,932,2  4  550,,185,11  6  5
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Γοματίου,10,18  7.796,2.550,3  4  1.271,426,23  4  19
Μαραθούσσης,7,11  3.426,1.008,4  2  1.130,378,9  1  8
Μεγάλης Παναγίας,15,22  8.316,2.746,7  5  2.427,704,26  9  17
Νεοχωρίου,2,3  1.975,658,0  0  0,0,3  0  3
Νέων Ρόδων,5,12  5.851,1.942,0  0  0,0,11  4  7
Ολυμπιάδος,2,3  971,313,1  1  180,64,3  1  2
Ουρανοπόλεως,2,2  390,130,1  0  468,158,2  0  2
Παλαιοχωρίου,6,10  4.018,1.328,4  5  1.159,339,9  2  7
Πυργαδικίων,0,0  0,0,2  1  284,95,2  1  1
Σταγίρων,4,6  2.130,675,2  4  783,261,8  3  5
Στανού,4,8  3.570,1.129,2  2  531,177,10  1  9
Στρατονίκης,2,3  2.658,636,1  2  542,181,4  1  3
Στρατωνίου,5,8  3.821,1.214,2  1  285,95,9  1  8
Κασσανδρείας,49,82  49.745,16.438,13  13  6.691,1.894,184  130  54
Νέων Μουδανιών,61,132  91.491,27.104,13  11  11.749,2.294,206  93  113
Πολυγύρου,64,135  97.018,28.890,33  27  23.560,6.355,244  95  149
Αγίας Παρασκευής,7,12  5.100,1.667,1  1  276,69,19  12  7
Αγίου Μάμαντος,19,30  39.213,9.710,2  2  1.988,410,18  2  16
Αγίου Νικολάου,20,35  11.414,3.363,6  5  2.667,831,32  11  21
Αγίου Παντελεήμονος,19,33  32.557,6.984,4  5  2.216,625,30  8  22
Αγίου Παύλου,1,1  360,119,0  0  0,0,1  0  1
Αγίου Προδρόμου,1,1  1.000,200,1  0  80,23,1  1  0
Αφύτου,8,15  6.431,2.016,1  2  880,220,24  17  7
Βάβδου,4,7  2.230,783,2  0  239,75,6  5  1
Βραστάμων,4,5  2.241,551,1  0  60,20,1  0  1
Γαλαρινού,1,1  4.182,812,0  0  0,0,0  0  0
Γαλατίστης,24,36  30.792,8.249,6  5  3.127,1.120,22  3  19
Γεροπλατάνου,5,7  3.272,934,0  0  0,0,4  1  3
?ιονυσίου,14,28  18.119,5.245,3  1  461,154,38  10  28
?ουμπιών,1,1  294,84,0  0  0,0,0  0  0
Ελαιοχωρίων,1,1  8.400,1.200,0  0  0,0,0  0  0
Ζωγράφου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",2,4  1.654,486,1  2  535,180,6  1  5
Καλάνδρας,16,33  16.032,4.965,3  1  244,79,77  53  24
Καλλιθέας,12,25  21.235,7.319,5  5  4.673,1.331,105  55  50
Κασσανδρηνού,3,5  5.169,1.584,1  2  441,147,21  21  0
Κρήνης,5,8  3.088,872,1  1  380,122,5  0  5
Κρυοπηγής,11,21  12.944,4.012,0  0  0,0,53  39  14
Λακκώματος,11,16  44.452,7.049,3  1  2.296,526,5  1  4
Μεταγκιτσίου,8,12  8.945,2.527,2  3  475,135,8  3  5
Μεταμορφώσεως,2,3  1.426,415,0  0  0,0,4  3  1
Νέας Γωνιάς,4,5  3.283,970,1  2  538,143,8  0  8
Νέας Ποτειδαίας,17,34  16.491,5.273,6  4  1.572,539,72  45  27
Νέας Σκιώνης,17,25  20.374,7.050,5  5  919,297,79  68  11
Νέας Τενέδου,4,4  2.021,532,2  2  322,114,4  1  3
Νέας Τριγλίας,18,27  11.583,3.307,10  7  3.123,937,28  10  18
Νέας Φωκαίας,10,19  11.100,3.186,6  5  1.798,595,22  4  18
Νέου Μαρμαρά,24,59  19.848,7.538,10  8  2.185,711,124  110  14
Νέων Πλαγίων,20,29  9.270,2.834,2  2  1.128,366,40  26  14
Νέων Σιλάτων,5,6  2.480,656,5  5  1.418,402,10  3  7
Νικήτης (Νικήτα),56,116  47.242,14.770,13  15  11.865,3.300,143  52  91
Ολύνθου,12,16  12.344,2.726,3  2  872,239,6  4  2
Ορμυλίας,21,41  18.575,6.014,11  8  3.096,993,68  20  48
Παλαιοκάστρου,2,3  738,266,4  4  1.215,379,6  2  4
Παλαιοχώρας,2,3  1.876,526,3  4  959,316,5  1  4
Παλιουρίου,7,16  5.103,1.678,2  1  1.895,611,14  6  8
Πετραλώνων,0,0  0,0,1  1  300,83,1  0  1
Πευκοχωρίου,15,33  22.471,6.950,5  1  2.305,832,71  61  10
Πολυχρόνου,9,17  11.560,3.652,2  0  234,77,43  39  4
Πορταριάς,11,19  7.002,1.980,4  4  1.067,410,12  2  10
Ριζών,3,3  2.642,758,1  0  120,30,4  0  4
Σάρτης,8,17  6.712,2.149,5  3  2.646,645,20  13  7
Σημάντρων,12,17  10.504,2.732,3  3  661,188,9  1  8
Συκέας,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",25,44  15.977,4.940,9  7  4.495,1.428,74  54  20
Ταξιάρχου,5,8  7.923,2.483,8  8  1.889,642,13  9  4
Φλογητών,16,46  18.362,6.101,5  5  2.183,722,81  26  55
Φούρκας,9,19  9.911,2.964,2  2  209,84,28  22  6
Χανιώτη,28,54  39.739,12.426,4  5  606,209,134  100  34
?ΥΤΙΚΗ ΜΑΚΕ?ΟΝΙΑ,1.262,2.126  1.523.804,486.106,413  272  252.872,72.533,2.626  547  2.079
ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,232,360  231.592,70.144,84  61  32.574,10.076,816  86  730
Γρεβενών,56,108  96.155,29.871,19  16  6.420,2.307,408  32  376
?εσκάτης,24,33  41.410,9.685,16  13  12.402,3.360,69  3  66
Αβδέλλας,9,14  3.206,1.017,4  4  644,191,14  2  12
Αγίου Γεωργίου,4,4  2.136,686,0  0  0,0,3  0  3
Αγίου Κοσμά,3,7  1.291,430,2  1  636,229,4  0  4
Αγίων Θεοδώρων,3,3  9.923,3.344,1  0  14,6,61  1  60
Αλατοπέτρας,2,2  1.879,627,0  0  0,0,1  1  0
Αμυγδαλεών,5,8  3.388,1.398,3  2  725,206,14  1  13
Βατολάκκου,1,2  641,179,0  0  0,0,1  0  1
?ασοχωρίου,1,1  333,101,2  3  688,226,2  0  2
Ελάτου,2,3  524,172,0  0  0,0,2  0  2
Ζάκα,16,23  5.458,1.724,5  4  1.832,552,20  9  11
Καλλονής,1,1  210,56,0  0  0,0,0  0  0
Καρπερού,3,3  13.603,4.544,1  1  576,192,72  0  72
Κατάκαλης,1,1  665,201,0  0  0,0,2  0  2
Κέντρου,1,1  242,81,0  0  0,0,1  0  1
Κηπουρείου,0,0  0,0,1  1  133,27,0  0  0
Κιβωτού,4,6  2.001,647,3  3  1.186,397,6  1  5
Κνίδης,2,2  404,121,0  0  0,0,2  1  1
Κοκκινιάς,3,3  1.338,481,0  0  0,0,1  0  1
Κοσματίου,2,3  1.997,641,0  0  0,0,0  0  0
Κρανέας,2,5  1.042,337,0  0  0,0,2  0  2
Κυδωνιών,1,2  342,114,0  0  0,0,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κυπαρισσίου,2,3  956,328,1  0  1.205,342,2  0  2
Κυρακαλής,1,2  860,243,0  0  0,0,1  0  1
Λάβδα,0,0  0,0,1  0  566,188,0  0  0
Μαυραναίων,4,7  2.054,674,0  0  0,0,7  1  6
Μεγάλου Σειρηνίου,2,3  853,237,0  0  0,0,2  1  1
Μεγάρου,4,7  2.138,706,2  0  476,179,6  1  5
Μεσολουρίου,2,3  599,207,1  1  195,75,2  0  2
Μικρολιβάδου,0,0  0,0,1  0  32,10,0  0  0
Μοναχιτίου,2,3  796,242,0  0  0,0,3  1  2
Μυρσίνης,1,1  223,65,1  0  253,100,1  0  1
Οροπεδίου,2,2  1.132,298,0  0  0,0,0  0  0
Παλαιοχωρίου,2,2  1.154,366,0  0  0,0,2  0  2
Παλιουριάς,4,5  2.155,693,0  0  0,0,3  0  3
Πανοράματος,1,2  550,181,0  0  0,0,1  0  1
Παρασκευής,1,1  333,101,0  0  0,0,1  1  0
Περιβολίου,10,15  3.642,1.219,2  1  274,93,15  2  13
Πηγαδίτσης,1,2  400,114,0  0  0,0,1  0  1
Πολυδένδρου,1,1  665,202,0  0  0,0,1  1  0
Πολυνερίου,2,3  1.656,546,1  0  117,48,8  5  3
Ποντινής,1,1  832,252,1  2  111,40,2  1  1
Προσβόρρου,3,3  723,225,0  0  0,0,3  0  3
Ροδιάς,1,1  363,121,6  4  1.983,590,5  3  2
Σαμαρίνης,14,20  6.599,2.017,2  1  226,72,18  3  15
Σαρακήνας,1,1  665,202,1  0  66,80,2  0  2
Σμίξης,4,7  3.454,1.116,3  3  782,263,15  13  2
Συνδένδρου,2,2  796,187,0  0  0,0,1  0  1
Ταξιάρχου,3,5  1.752,518,0  0  0,0,3  0  3
Τρικοκκιάς,3,3  1.114,330,1  0  221,63,2  0  2
Τρικόρφου,1,1  171,57,0  0  0,0,1  1  0
Τρικώμου,1,2  1.012,358,0  0  0,0,2  0  2
Φελλίου,4,6  1.975,620,0  0  0,0,5  1  4
Φιλιππαίων,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",6,11  3.782,1.262,3  1  811,240,15  0  15
ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,174,288  217.193,65.676,38  22  12.553,4.394,219  60  159
Ακριτών,1,2  702,234,0  0  0,0,1  0  1
¶ργους Ορεστικού,30,49  42.136,12.682,6  4  3.126,851,32  6  26
Βιτσίου,12,14  5.217,1.632,0  0  0,0,5  2  3
Καστορίας,34,77  78.108,24.845,9  6  2.319,1.085,103  31  72
Αγίου Αντωνίου,0,0  0,0,1  0  147,49,0  0  0
Αμπελοκήπων,3,4  1.430,446,0  0  0,0,2  1  1
Ασπροκκλησιάς,1,1  150,50,0  0  0,0,0  0  0
Βασιλειάδος,3,4  2.168,722,0  0  0,0,2  0  2
Βογατσικού,5,6  1.767,586,0  0  0,0,3  0  3
Γάβρου,3,4  8.694,1.331,1  0  216,72,0  0  0
Γέρμα,3,4  949,316,2  0  418,139,3  0  3
?ενδροχωρίου,9,10  6.416,2.073,0  0  0,0,1  0  1
?ισπηλίου,6,10  15.418,2.747,0  0  0,0,4  0  4
Επταχωρίου,1,2  906,289,0  0  0,0,1  0  1
Καλοχωρίου,1,1  750,150,0  0  0,0,0  0  0
Κορησού,9,15  5.069,1.661,3  3  521,174,11  4  7
Κωσταραζίου,3,6  1.300,441,1  0  778,173,3  0  3
Λεύκης,1,2  444,148,0  0  0,0,2  0  2
Λιθιάς,1,2  437,146,1  0  84,28,1  0  1
Μανιάκων,13,26  15.926,4.463,4  2  1.479,357,23  12  11
Μαυροχωρίου,12,18  9.660,5.693,6  5  1.812,734,9  2  7
Μελά,1,2  488,162,0  0  0,0,1  0  1
Μελισσοτόπου,1,1  50,17,0  0  0,0,0  0  0
Μεσοποταμιάς,12,16  14.289,3.398,1  0  60,20,6  1  5
Μηλίτσας,2,2  825,200,0  0  0,0,0  0  0
Πενταβρύσου,1,1  645,150,0  0  0,0,0  0  0
Πολυκάρπης,6,9  3.249,1.094,1  1  600,150,4  0  4
Πτεριάς,0,0  0,0,1  0  448,349,0  0  0
Χιλιοδένδρου,0,0  0,0,1  1  545,213,2  1  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
ΝΟΜΟΣ ΚΟΖΑΝΗΣ,596,1.072  732.983,251.477,222  156  181.487,50.559,1.190  301  889
Νεάπολης,13,22  8.135,3.422,5  6  1.354,524,15  3  12
Σιατίστης,9,15  8.091,3.516,9  5  2.554,1.250,20  12  8
Τσοτιλίου,11,17  6.747,3.221,3  1  1.128,605,11  0  11
Αυγερινού,2,2  390,100,0  0  0,0,0  0  0
Γαλατινής,6,8  3.097,1.268,8  5  4.180,1.960,11  3  8
?ιχειμάρρου,1,1  330,180,0  0  0,0,0  0  0
?ρυοβούνου,0,0  0,0,1  0  6.440,2.500,0  0  0
Ερατύρας,10,14  7.149,3.377,1  0  240,140,9  1  8
Καλονερίου,2,2  495,235,0  0  0,0,0  0  0
Κλεισωρείας,1,1  166,50,0  0  0,0,0  0  0
Κριμηνίου,1,1  315,221,0  0  0,0,1  0  1
Λικνάδων,1,1  151,50,0  0  0,0,0  0  0
Μικροκάστρου,0,0  0,0,2  1  102,41,0  0  0
Μόρφης,1,2  1.002,460,0  0  0,0,2  0  2
Παλαιοκάστρου,1,1  423,102,1  1  156,50,1  1  0
Πελεκάνου,2,4  920,452,0  0  0,0,3  1  2
Πενταλόφου,0,0  0,0,1  1  36,35,0  0  0
Πλατανιάς,1,1  612,273,0  0  0,0,1  0  1
Πολυκαστάνου,1,1  472,270,0  0  0,0,0  0  0
Πολυλάκκου,1,1  165,50,0  0  0,0,0  0  0
Σισανίου,3,4  3.424,1.538,0  0  0,0,2  0  2
Σκαλοχωρίου,1,2  343,173,0  0  0,0,1  0  1
Χορηγού,0,0  0,0,1  0  61,17,1  1  0
Χρυσαυγής,2,3  1.102,580,0  0  0,0,3  1  2
Πτολεμαϊδος,81,185  153.335,43.607,25  28  14.776,7.859,269  21  248
Αγίου Χριστοφόρου,1,1  257,120,1  1  445,283,1  0  1
Αναρράχης,15,19  8.263,4.164,3  2  925,434,16  2  14
Ανατολικού,6,7  2.918,1.298,4  2  1.427,728,6  1  5
Αρδάσσης,3,4  881,457,2  0  532,284,1  0  1
Ασβεστοπέτρας,0,0  0,0,1  1  97,36,0  0  0
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Βλάστης,11,19  5.543,2.618,2  3  379,216,16  1  15
Γαλατείας,1,2  734,240,0  0  0,0,1  0  1
?ροσερού,2,2  1.140,507,1  1  502,315,3  0  3
Εμπορίου,16,26  10.138,4.678,3  0  1.335,559,18  3  15
Ερμακιάς,2,2  1.178,481,0  0  0,0,2  0  2
Καρδίας,0,0  0,0,1  0  91,137,0  0  0
Καρυοχωρίου,2,3  1.289,579,0  0  0,0,2  0  2
Κομνηνών,6,10  3.881,1.841,2  3  608,315,8  0  8
Μαυροπηγής,0,0  0,0,1  1  430,236,1  0  1
Μεσοβούνου,5,6  3.260,1.436,2  1  716,378,6  1  5
Μηλοχωρίου,2,3  1.966,889,1  0  1.451,754,3  2  1
Ολυμπιάδος,2,3  1.356,521,0  0  0,0,2  0  2
Περδίκκα,2,3  1.783,766,0  0  0,0,1  0  1
